# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:24:26 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911352597 (Default)
# output
#   file = examples\timeseries\timeseriesvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,alpha,beta,lambda
# Stepsize adaptation complete.
# eta = 1
0,-27.4468,-1.07061,-1.4973,0.73129,0.463384
0,-28.7129,-1.38957,-1.47996,0.524083,0.480112
0,-27.5703,-0.869147,-1.5659,0.613699,0.44302
0,-29.9257,-2.74024,-1.75135,0.69567,0.489815
0,-27.0539,-0.73876,-1.61009,0.584207,0.451479
0,-27.1329,-0.457097,-1.64224,0.599849,0.479176
0,-26.4963,-0.102214,-1.54989,0.625558,0.484779
0,-26.9322,-0.745778,-1.60892,0.711581,0.494941
0,-27.4474,-2.01557,-1.69384,0.755193,0.469534
0,-26.4552,-2.47302,-1.47884,0.703642,0.521194
0,-26.6762,-0.671222,-1.56205,0.722404,0.459837
0,-27.4351,-0.605387,-1.58659,0.560234,0.458837
0,-27.9769,-2.82628,-1.61799,0.633139,0.417577
0,-26.6376,-0.946149,-1.58467,0.757445,0.475913
0,-26.6739,-0.470448,-1.56115,0.692051,0.457166
0,-27.2144,-1.82658,-1.69924,0.574955,0.453003
0,-27.9359,-1.92384,-1.65245,0.525254,0.446416
0,-26.2753,-0.310594,-1.53434,0.666783,0.490028
0,-27.4195,-0.45735,-1.56178,0.555328,0.482555
0,-26.7444,-0.446756,-1.52653,0.697737,0.466263
0,-27.8064,-4.38527,-1.34795,0.703194,0.505506
0,-27.0378,-0.295904,-1.53929,0.581355,0.482289
0,-27.9274,-2.75369,-1.60305,0.832149,0.458559
0,-30.3997,-2.39225,-1.56384,0.44566,0.464184
0,-32.0552,-3.26846,-1.4943,0.426088,0.465526
0,-26.3719,-0.520623,-1.57441,0.726414,0.478289
0,-29.6356,-3.4167,-1.65326,0.462294,0.439483
0,-27.3771,-1.03874,-1.61028,0.70797,0.50372
0,-27.2958,-0.55925,-1.56329,0.573563,0.495622
0,-27.4972,-1.54004,-1.55688,0.63711,0.520228
0,-30.0033,-1.72352,-1.43347,0.634217,0.452781
0,-28.1013,-1.42013,-1.61742,0.691334,0.513086
0,-26.8002,-0.91108,-1.58518,0.728989,0.497097
0,-26.4964,-0.117328,-1.6091,0.626564,0.47257
0,-27.0475,-0.456648,-1.64729,0.614871,0.479386
0,-26.8289,-0.452818,-1.51584,0.690458,0.467355
0,-26.8199,-0.506028,-1.58058,0.651775,0.500803
0,-26.3294,-0.126422,-1.56649,0.674088,0.468977
0,-27.7018,-1.07166,-1.62478,0.693602,0.504946
0,-34.0365,-5.66939,-1.55429,0.449173,0.409768
0,-26.752,-1.28093,-1.47981,0.735801,0.485373
0,-26.604,-0.109399,-1.53175,0.63236,0.475805
0,-29.3006,-1.65593,-1.47969,0.696344,0.442804
0,-26.4147,-1.98724,-1.45901,0.653848,0.513412
0,-26.5785,-0.0702777,-1.59619,0.616609,0.476146
0,-26.9033,-1.10161,-1.48499,0.731725,0.478714
0,-26.3574,-0.810868,-1.65008,0.693714,0.461596
0,-27.7231,-0.563159,-1.52997,0.606014,0.453439
0,-26.3044,-0.206622,-1.60332,0.657212,0.464085
0,-27.0034,-0.605821,-1.49769,0.692239,0.4693
0,-27.8081,-1.276,-1.44116,0.60434,0.482784
0,-27.4202,-0.852483,-1.61886,0.552306,0.458059
0,-32.5074,-5.98357,-1.72198,0.88851,0.493772
0,-32.6963,-3.29818,-1.45493,0.66862,0.421747
0,-26.749,-0.281888,-1.62475,0.604699,0.471821
0,-27.185,-0.460731,-1.55227,0.572299,0.490831
0,-26.8725,-0.669728,-1.53966,0.605649,0.50221
0,-30.1472,-2.18476,-1.48963,0.470961,0.47617
0,-27.7281,-1.43194,-1.60382,0.714467,0.511181
0,-27.0879,-0.43216,-1.53216,0.577737,0.487566
0,-29.6822,-1.71795,-1.66292,0.532568,0.499384
0,-26.5118,-1.79475,-1.50763,0.706516,0.515215
0,-29.1877,-1.83528,-1.61518,0.476085,0.465604
0,-27.3277,-0.333762,-1.53778,0.59624,0.461642
0,-32.1964,-4.08768,-1.4129,0.794589,0.444531
0,-28.3608,-1.104,-1.52647,0.515651,0.483405
0,-27.7187,-1.22443,-1.4711,0.721455,0.466321
0,-26.2671,-0.410779,-1.6194,0.674046,0.461627
0,-26.9569,-1.81997,-1.65347,0.594968,0.436175
0,-26.6521,-0.338118,-1.61262,0.606332,0.461488
0,-27.0398,-0.599903,-1.57423,0.622616,0.503326
0,-28.2544,-1.1778,-1.55964,0.57676,0.440963
0,-27.1703,-0.276652,-1.54363,0.602998,0.461677
0,-27.1415,-1.15124,-1.5288,0.756806,0.464191
0,-31.0929,-2.45395,-1.44034,0.500686,0.463974
0,-27.2268,-0.647908,-1.50868,0.574291,0.488777
0,-26.3356,-1.27053,-1.6561,0.664298,0.445708
0,-26.4712,-0.308182,-1.63405,0.644866,0.470688
0,-27.6679,-1.79097,-1.51251,0.78837,0.465723
0,-27.6269,-0.983404,-1.53362,0.697025,0.446792
0,-29.7417,-1.78246,-1.50183,0.485819,0.470619
0,-26.7765,-1.2323,-1.63142,0.75787,0.469287
0,-27.0263,-0.641265,-1.5124,0.705594,0.464553
0,-28.5498,-0.883023,-1.50397,0.565673,0.457717
0,-28.2237,-1.19867,-1.58174,0.535551,0.449179
0,-28.4675,-4.33243,-1.63098,0.804585,0.422044
0,-26.6802,-0.516461,-1.49029,0.64308,0.484386
0,-27.4252,-0.676271,-1.61664,0.646947,0.501721
0,-27.8852,-0.91685,-1.53144,0.658043,0.444154
0,-28.1323,-1.08662,-1.5342,0.649683,0.440297
0,-29.6309,-1.60312,-1.43759,0.647398,0.454246
0,-26.5224,-1.26279,-1.46767,0.703999,0.492927
0,-26.4368,-0.672898,-1.56537,0.736759,0.481996
0,-27.072,-0.421237,-1.50054,0.658086,0.468197
0,-26.6352,-1.2185,-1.61286,0.744671,0.454565
0,-27.2879,-0.55466,-1.49553,0.589522,0.480355
0,-28.9055,-2.31333,-1.52176,0.769205,0.439605
0,-27.7429,-0.666328,-1.55897,0.539035,0.484373
0,-27.806,-0.945215,-1.57238,0.575146,0.445595
0,-26.9165,-0.275833,-1.5757,0.599215,0.491275
0,-27.2663,-0.603321,-1.59967,0.56564,0.45858
0,-27.4185,-2.67553,-1.73754,0.721391,0.459475
0,-27.677,-1.02005,-1.65074,0.699304,0.495898
0,-26.4891,-0.431433,-1.55424,0.710834,0.466912
0,-26.6928,-0.43121,-1.49816,0.666447,0.477592
0,-26.251,-0.200428,-1.55737,0.689569,0.479013
0,-28.0882,-1.08499,-1.49958,0.534703,0.48558
0,-26.4727,-0.576944,-1.54556,0.727676,0.474078
0,-35.553,-6.30627,-1.56118,0.3349,0.447626
0,-26.5172,-2.38858,-1.66987,0.681659,0.431163
0,-28.2859,-1.82545,-1.69826,0.538652,0.467346
0,-26.9044,-1.8102,-1.62972,0.657065,0.431445
0,-27.2906,-1.6643,-1.44001,0.597812,0.497839
0,-27.1235,-1.13636,-1.68367,0.594275,0.463801
0,-28.2487,-1.54806,-1.43868,0.571084,0.484618
0,-26.4196,-0.517563,-1.53804,0.652875,0.499182
0,-28.9186,-3.66916,-1.53907,0.622484,0.543852
0,-26.7883,-4.1569,-1.38324,0.723873,0.515804
0,-26.409,-0.69958,-1.55541,0.73238,0.486936
0,-26.6275,-0.0473452,-1.56112,0.61155,0.476955
0,-27.1773,-0.763799,-1.52665,0.574852,0.498097
0,-29.4587,-1.89185,-1.64482,0.482589,0.479836
0,-27.6761,-2.20672,-1.43142,0.569813,0.503
0,-26.9108,-1.05073,-1.46524,0.616577,0.493572
0,-29.125,-1.31168,-1.52106,0.509696,0.463035
0,-26.6902,-2.9136,-1.69033,0.742777,0.437077
0,-27.4728,-0.569736,-1.5099,0.662613,0.457265
0,-30.0284,-2.81288,-1.58799,0.484969,0.434214
0,-27.9279,-0.603985,-1.50115,0.588901,0.463329
0,-29.4364,-1.50334,-1.49804,0.506307,0.466618
0,-28.5225,-3.24009,-1.57141,0.857166,0.463481
0,-27.1366,-1.80301,-1.60739,0.706754,0.433525
0,-28.8427,-1.22689,-1.64663,0.571402,0.502443
0,-33.4628,-4.19295,-1.41626,0.437448,0.467869
0,-27.2829,-1.69091,-1.53351,0.793924,0.472441
0,-26.4676,-1.14591,-1.63572,0.657135,0.443315
0,-26.7559,-1.52379,-1.45962,0.616716,0.504422
0,-26.5167,-0.612615,-1.49141,0.646343,0.490268
0,-27.5366,-0.640842,-1.65423,0.618224,0.488367
0,-26.3336,-0.130485,-1.55445,0.676613,0.472317
0,-27.9396,-2.75563,-1.43037,0.548816,0.509866
0,-27.2782,-0.341822,-1.52972,0.620261,0.459457
0,-38.1439,-5.49288,-1.36191,0.526526,0.428888
0,-28.7036,-1.26064,-1.58234,0.495691,0.473246
0,-27.0321,-0.227925,-1.5224,0.615602,0.469055
0,-28.237,-0.819265,-1.53685,0.557296,0.454754
0,-26.7135,-0.511215,-1.56148,0.638339,0.501315
0,-26.9122,-2.07757,-1.49098,0.618323,0.521417
0,-26.2998,-0.430017,-1.61992,0.661104,0.458856
0,-27.4851,-0.881198,-1.52405,0.555773,0.495956
0,-27.6023,-0.565483,-1.57793,0.548318,0.485385
0,-27.0178,-0.315779,-1.57126,0.598182,0.458772
0,-26.4667,-0.661664,-1.57228,0.737898,0.472809
0,-27.38,-0.838682,-1.49488,0.569581,0.489699
0,-31.7318,-3.79704,-1.60216,0.404835,0.45404
0,-27.7313,-1.26113,-1.63703,0.72695,0.499306
0,-27.0734,-0.498147,-1.6516,0.633863,0.482193
0,-27.6513,-0.570904,-1.54554,0.590432,0.45329
0,-26.4501,-0.862166,-1.60956,0.723042,0.456755
0,-26.6688,-0.403169,-1.526,0.695216,0.468387
0,-27.9631,-0.860989,-1.62773,0.536938,0.478692
0,-28.2397,-0.837564,-1.54105,0.551308,0.455525
0,-27.5047,-0.547105,-1.63581,0.586255,0.486373
0,-27.0587,-0.649069,-1.63153,0.692088,0.491456
0,-26.5205,-0.0860478,-1.57621,0.629709,0.485982
0,-26.8703,-0.128163,-1.54841,0.602044,0.470997
0,-26.683,-1.13184,-1.62615,0.634925,0.441498
0,-32.4281,-3.71247,-1.65022,0.421145,0.497199
0,-27.4658,-2.9707,-1.40935,0.754511,0.494544
0,-27.2994,-0.487224,-1.55261,0.564182,0.488885
0,-30.5039,-1.87148,-1.44189,0.558774,0.455068
0,-29.5838,-2.33925,-1.38735,0.638539,0.472185
0,-28.0168,-2.19786,-1.68087,0.780205,0.479458
0,-26.7155,-0.279926,-1.59558,0.606452,0.460495
0,-26.5173,-3.19502,-1.45089,0.663767,0.528455
0,-27.8308,-0.743886,-1.65242,0.590623,0.489002
0,-26.7019,-0.807267,-1.56501,0.73694,0.461267
0,-31.6824,-2.47297,-1.47384,0.533271,0.437496
0,-28.1464,-1.0604,-1.5956,0.51937,0.461642
0,-30.5639,-2.07386,-1.49878,0.488752,0.454921
0,-28.2325,-2.55171,-1.44648,0.531165,0.507426
0,-28.3768,-1.18045,-1.59459,0.508953,0.463421
0,-29.0106,-1.5821,-1.42309,0.637725,0.466615
0,-26.5709,-2.07909,-1.432,0.671953,0.504934
0,-29.1112,-1.53778,-1.59151,0.494074,0.493085
0,-26.2596,-0.0956136,-1.58799,0.668926,0.47245
0,-27.4002,-0.431129,-1.57903,0.556731,0.481459
0,-30.5583,-2.88263,-1.4385,0.763728,0.447294
0,-28.067,-1.10204,-1.54928,0.530718,0.49746
0,-28.1707,-1.75243,-1.45966,0.538949,0.495083
0,-30.6913,-2.60138,-1.38358,0.592336,0.467399
0,-26.974,-2.693,-1.67422,0.771751,0.444512
0,-30.1439,-2.65915,-1.51649,0.453024,0.496649
0,-28.2209,-0.819942,-1.54272,0.53922,0.461031
0,-26.5579,-1.05551,-1.47354,0.638308,0.498279
0,-26.4444,-0.412542,-1.62799,0.689791,0.475331
0,-26.2752,-0.278975,-1.60822,0.687356,0.471187
0,-31.6333,-3.48901,-1.56144,0.414208,0.498092
0,-26.538,-0.990052,-1.663,0.704497,0.46503
0,-26.6078,-1.8746,-1.47744,0.753092,0.498404
0,-27.5155,-0.840087,-1.66629,0.58188,0.475824
0,-27.2617,-1.80734,-1.67234,0.559659,0.445816
0,-27.1219,-1.88273,-1.42986,0.615045,0.500437
0,-27.4518,-1.13147,-1.65565,0.552616,0.460734
0,-29.1467,-1.32841,-1.49081,0.522033,0.467399
0,-27.9059,-1.08845,-1.66667,0.553858,0.474697
0,-26.3595,-0.157648,-1.60427,0.64275,0.465799
0,-37.2295,-6.95412,-1.65623,0.356842,0.520463
0,-28.4899,-3.23905,-1.55729,0.714657,0.536365
0,-31.1358,-2.81414,-1.62308,0.461801,0.505957
0,-27.6173,-1.13827,-1.65118,0.71915,0.493474
0,-29.7003,-2.19035,-1.60337,0.460217,0.46116
0,-26.8918,-0.688182,-1.51706,0.593631,0.497572
0,-32.7344,-6.4933,-1.80803,0.446248,0.464277
0,-26.565,-0.129196,-1.57248,0.626734,0.488352
0,-26.3731,-0.516034,-1.58066,0.725516,0.473195
