# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:24:26 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911352597 (Default)
# output
#   file = examples\timeseries\timeseriesvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,alpha,beta,lambda
# Stepsize adaptation complete.
# eta = 1
0,-33.3905,-3.2302,-1.39244,0.600241,0.440955
0,-27.1161,-0.624973,-1.66007,0.606826,0.475104
0,-29.4519,-1.58662,-1.65749,0.535624,0.49877
0,-32.3138,-3.87079,-1.58365,0.400147,0.49734
0,-28.304,-1.6944,-1.63341,0.50931,0.453093
0,-26.6151,-0.298642,-1.57143,0.640066,0.495379
0,-26.6846,-0.602004,-1.6606,0.644888,0.470437
0,-27.6508,-0.549843,-1.55716,0.544263,0.476349
0,-31.9894,-3.30183,-1.52786,0.473359,0.431991
0,-26.6882,-1.69052,-1.69633,0.614538,0.44969
0,-28.5547,-1.21197,-1.49783,0.521866,0.479295
0,-27.846,-0.814993,-1.57263,0.551803,0.454124
0,-27.3945,-0.455842,-1.59841,0.574592,0.490154
0,-28.4054,-3.09123,-1.57248,0.793098,0.5202
0,-28.5214,-3.01246,-1.70644,0.798883,0.474012
0,-32.4714,-5.21711,-1.61624,0.694247,0.554952
0,-28.4217,-1.9477,-1.70311,0.733474,0.486477
0,-27.371,-1.14952,-1.45864,0.701602,0.475151
0,-26.4091,-0.415777,-1.62121,0.697398,0.475359
0,-32.7814,-4.95018,-1.52072,0.698381,0.400334
0,-27.1179,-0.309845,-1.52292,0.588382,0.47704
