# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = coinbias_model
# start_datetime = 2023-01-12 09:02:32 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\coinbias\coinbias.data.R
# init = 2 (Default)
# random
#   seed = 2892038987 (Default)
# output
#   file = examples\coinbias\coinbiasvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,bias
0,-4.9972,-0.178427,0.319703
0,-5.05295,-0.222506,0.309869
0,-5.00005,-0.18067,0.319171
0,-6.3161,-1.32037,0.193526
0,-5.02327,-0.245207,0.523377
0,-5.90981,-0.973412,0.633699
0,-4.75366,-0.00818008,0.430262
0,-4.89644,-0.138052,0.494807
0,-4.86936,-0.0802213,0.348325
0,-6.57033,-1.5172,0.684568
0,-5.09837,-0.258831,0.302588
0,-8.38365,-3.05684,0.777767
0,-4.99563,-0.222055,0.517847
0,-4.86533,-0.111252,0.486021
0,-5.62177,-0.737702,0.60587
0,-5.17488,-0.371088,0.549588
0,-4.8256,-0.048052,0.361885
0,-5.05573,-0.224723,0.309405
0,-5.88056,-0.949456,0.631072
0,-6.1975,-1.21092,0.200648
0,-5.3086,-0.430952,0.274556
0,-5.7661,-0.823039,0.230844
0,-5.49133,-0.584955,0.255052
0,-5.77805,-0.833557,0.229896
0,-5.97635,-1.02794,0.639531
0,-4.76044,-0.0156956,0.438178
0,-4.7527,-0.00700706,0.428735
0,-4.82447,-0.0754622,0.472439
0,-4.78347,-0.0186282,0.379734
0,-4.81353,-0.0657083,0.468207
0,-4.76905,-0.00932913,0.388464
0,-5.06896,-0.235274,0.307235
0,-4.74982,-4.24075e-005,0.411344
0,-4.75711,-0.0121189,0.434721
0,-6.07789,-1.11123,0.648073
0,-4.75084,-0.00452836,0.425021
0,-4.82596,-0.0483099,0.36176
0,-4.86619,-0.112,0.48628
0,-4.75164,-0.00564771,0.426798
0,-5.20749,-0.347424,0.287078
0,-5.0937,-0.303878,0.536295
0,-4.74979,-0.00285424,0.421889
0,-4.74937,-0.00197434,0.419862
0,-5.16111,-0.359709,0.547432
0,-4.8123,-0.064603,0.467709
0,-5.12289,-0.278586,0.298881
0,-4.77197,-0.0111555,0.386481
0,-5.98865,-1.03802,0.640588
0,-4.80869,-0.0613533,0.466218
0,-4.75157,-0.000199038,0.406733
0,-5.10929,-0.267618,0.30092
0,-4.96699,-0.154821,0.325552
0,-4.92026,-0.118734,0.335559
0,-4.78998,-0.0230094,0.376428
0,-4.75035,-1.40661e-006,0.409621
0,-4.78365,-0.0187442,0.379642
0,-4.87276,-0.0827563,0.347393
0,-5.69014,-0.756483,0.237052
0,-4.75516,-0.00993275,0.432353
0,-5.56376,-0.64699,0.248167
0,-4.85011,-0.0980192,0.481294
0,-4.75447,-0.00914267,0.431435
0,-4.75029,-1.94136e-007,0.409787
0,-6.01269,-1.05774,0.642636
0,-4.98588,-0.213862,0.51582
0,-6.23225,-1.23809,0.660322
0,-4.78062,-0.0167368,0.381285
0,-4.78043,-0.0166168,0.381387
0,-5.29551,-0.470432,0.567082
0,-4.78566,-0.0200906,0.37859
0,-7.645,-2.41985,0.745428
0,-4.76182,-0.0171272,0.439451
0,-5.39014,-0.499212,0.265427
0,-4.75687,-0.0023736,0.399032
0,-4.82958,-0.0799885,0.474311
0,-8.78667,-3.41078,0.793107
0,-5.40288,-0.509946,0.264067
0,-4.89285,-0.134972,0.493843
0,-4.99366,-0.175655,0.320366
0,-5.01185,-0.235645,0.521126
0,-5.25984,-0.390509,0.280409
0,-4.90715,-0.147216,0.497612
0,-5.11522,-0.272399,0.300025
0,-6.59681,-1.58411,0.178202
0,-5.21246,-0.402089,0.55529
0,-4.93894,-0.133086,0.331399
0,-4.75713,-0.00250341,0.398741
0,-4.94704,-0.139342,0.329665
0,-4.75036,-1.75272e-006,0.40959
0,-4.85817,-0.0718909,0.351504
0,-5.01089,-0.189193,0.317183
0,-5.02005,-0.242512,0.522747
0,-4.94676,-0.180879,0.507234
0,-4.78857,-0.0429866,0.45694
0,-7.10701,-2.07982,0.154682
0,-4.7618,-0.0171128,0.439439
0,-4.77266,-0.0115911,0.386033
0,-4.7865,-0.0206566,0.378158
0,-4.78235,-0.0371812,0.453612
0,-4.74975,-6.04036e-005,0.411626
0,-4.80515,-0.0581572,0.464713
0,-4.74913,-0.00108458,0.417273
0,-5.05814,-0.226635,0.309007
0,-4.9183,-0.117236,0.336009
0,-4.83161,-0.0817757,0.475036
0,-4.84912,-0.0971505,0.480973
0,-5.05682,-0.225585,0.309226
0,-5.83412,-0.883092,0.225547
0,-5.75958,-0.817303,0.231364
0,-4.84557,-0.0625887,0.355297
0,-4.74988,-3.14499e-005,0.411141
0,-4.90941,-0.110451,0.338087
0,-5.11415,-0.320841,0.539784
0,-4.76692,-0.022299,0.443661
0,-4.75954,-0.0147432,0.437299
0,-4.92145,-0.119649,0.335285
0,-4.91854,-0.15693,0.500492
0,-4.9122,-0.15152,0.4989
0,-4.99844,-0.179403,0.319471
0,-5.77502,-0.863067,0.621246
0,-5.30059,-0.474602,0.567771
0,-8.65203,-3.7056,0.104806
0,-4.76438,-0.00651319,0.391959
0,-4.95372,-0.144513,0.328263
0,-4.79616,-0.049981,0.460668
0,-4.79543,-0.0267377,0.373863
0,-4.85536,-0.102589,0.48296
0,-5.56392,-0.690378,0.599668
0,-7.58382,-2.36774,0.742461
0,-4.78104,-0.0170132,0.381053
0,-4.98572,-0.213729,0.515787
0,-4.82608,-0.0483938,0.361719
0,-5.20744,-0.34738,0.287085
0,-6.17297,-1.18842,0.202175
0,-5.09546,-0.256495,0.303038
0,-4.89543,-0.0998258,0.341487
0,-7.47131,-2.4464,0.140502
0,-5.35299,-0.517621,0.574691
0,-5.11673,-0.322979,0.540217
0,-4.79917,-0.0293214,0.372193
0,-4.91729,-0.116463,0.336242
0,-6.25123,-1.26036,0.197369
0,-4.75873,-0.00333087,0.397039
0,-5.02701,-0.201924,0.314306
0,-5.53127,-0.663656,0.596057
0,-5.76005,-0.850815,0.619805
0,-4.93706,-0.172659,0.504973
0,-5.85714,-0.903516,0.223807
0,-5.02184,-0.197836,0.315218
0,-5.6482,-0.759317,0.608626
0,-5.88674,-0.954517,0.631631
0,-5.7798,-0.8351,0.229758
0,-5.38814,-0.497528,0.265642
0,-5.31393,-0.485561,0.569565
0,-4.77733,-0.014583,0.383166
0,-4.85859,-0.0722032,0.351381
0,-5.54215,-0.628423,0.250178
0,-5.22857,-0.364729,0.284341
0,-4.90341,-0.105884,0.339526
0,-4.76927,-0.00946562,0.388309
0,-5.3589,-0.522467,0.57545
0,-4.79277,-0.0249102,0.375095
0,-5.05596,-0.224906,0.309367
0,-4.85436,-0.0690724,0.352624
0,-4.98418,-0.16823,0.322172
0,-4.98151,-0.166141,0.322688
0,-4.87475,-0.0842507,0.346851
0,-5.18826,-0.382133,0.551647
0,-4.76091,-0.00451927,0.394935
0,-5.52773,-0.616059,0.25154
0,-5.08499,-0.248097,0.304674
0,-4.8333,-0.0536272,0.359248
0,-5.28385,-0.410383,0.277487
0,-6.43939,-1.40887,0.675555
0,-4.77255,-0.0278292,0.447658
0,-6.91534,-1.80419,0.706395
0,-5.15829,-0.30726,0.293771
0,-5.62234,-0.697551,0.242883
0,-5.68311,-0.750353,0.237643
0,-4.9016,-0.142465,0.496169
0,-5.36938,-0.531067,0.576788
0,-7.41207,-2.38608,0.142684
0,-4.76265,-0.0179809,0.440185
0,-5.00105,-0.226597,0.518954
0,-5.19658,-0.388995,0.552911
0,-5.42351,-0.575433,0.583509
0,-4.96745,-0.198351,0.511872
0,-4.75002,-1.16334e-005,0.410649
0,-4.84846,-0.0965737,0.480759
0,-4.92239,-0.120372,0.33507
0,-5.47488,-0.570944,0.256674
0,-4.75266,-0.00695281,0.428662
0,-4.77897,-0.0156557,0.382213
0,-4.85456,-0.0692195,0.352565
0,-5.09943,-0.259684,0.302425
0,-4.93291,-0.169144,0.50399
0,-4.85275,-0.0678767,0.353106
0,-4.75204,-0.00616397,0.427558
0,-4.76141,-0.00479887,0.394482
0,-4.75202,-0.000324209,0.405864
0,-5.21603,-0.354425,0.285961
0,-5.23352,-0.368801,0.283708
0,-4.81597,-0.0678854,0.469177
0,-5.25147,-0.434215,0.560957
0,-5.07689,-0.289908,0.533344
0,-4.80161,-0.0549562,0.463165
0,-5.00066,-0.226273,0.518875
0,-6.17201,-1.18854,0.655641
0,-5.47157,-0.614799,0.589233
0,-5.10119,-0.310098,0.537585
0,-4.91582,-0.154612,0.499813
0,-6.65355,-1.5862,0.690075
0,-4.79207,-0.046227,0.458701
0,-5.50253,-0.594507,0.25396
0,-4.98227,-0.166734,0.322542
0,-6.14576,-1.16354,0.203892
0,-4.88776,-0.130605,0.492458
0,-4.74912,-0.000973164,0.416883
0,-5.76875,-0.857937,0.620644
0,-4.95118,-0.184614,0.508243
0,-4.86782,-0.113411,0.486765
0,-4.7933,-0.0473602,0.459303
0,-5.18774,-0.331261,0.289711
0,-5.76804,-0.857355,0.620575
0,-4.75551,-0.0103391,0.432812
0,-5.9684,-1.02142,0.638844
0,-5.41548,-0.520579,0.262738
0,-6.8809,-1.85757,0.164509
0,-4.76199,-0.00512629,0.393969
0,-4.74958,-0.0024475,0.420998
0,-5.69988,-0.764986,0.236238
0,-5.65646,-0.766073,0.609478
0,-4.74916,-0.00127504,0.417898
0,-6.01185,-1.04199,0.212723
0,-5.141,-0.293237,0.296233
0,-5.09078,-0.252739,0.303765
0,-5.40247,-0.509597,0.264111
0,-5.85601,-0.902511,0.223892
0,-6.45863,-1.45347,0.185497
0,-6.63971,-1.62499,0.176027
0,-5.73493,-0.830263,0.617359
0,-5.5282,-0.661144,0.595713
0,-4.85928,-0.0727148,0.351181
0,-4.85951,-0.1062,0.484251
0,-4.75167,-0.000225006,0.406534
0,-5.46976,-0.566587,0.257185
0,-5.41311,-0.566909,0.58224
0,-7.20026,-2.04311,0.722649
0,-4.89014,-0.0958294,0.342818
0,-5.45051,-0.550231,0.259123
0,-5.03159,-0.252155,0.524984
0,-4.87982,-0.123775,0.490244
0,-4.76451,-0.0198858,0.441764
0,-4.77815,-0.0332115,0.451187
0,-5.35941,-0.473394,0.268779
0,-6.70133,-1.68397,0.172973
0,-4.93223,-0.127923,0.332866
0,-6.81662,-1.79512,0.167467
0,-4.84752,-0.0957568,0.480455
0,-5.70376,-0.768381,0.235915
0,-5.96275,-0.997804,0.216131
0,-5.04472,-0.26312,0.527475
0,-7.7169,-2.69939,0.13192
0,-4.90504,-0.145409,0.497066
0,-4.98965,-0.217027,0.516607
0,-8.01265,-3.01028,0.122473
0,-4.74925,-0.000401123,0.414374
0,-5.27661,-0.404388,0.278359
0,-4.76143,-0.0167247,0.439099
0,-5.51549,-0.605589,0.252709
0,-6.04951,-1.08794,0.645727
0,-4.75893,-0.00343849,0.396834
0,-4.94834,-0.14035,0.329389
0,-4.83165,-0.0818165,0.475052
0,-4.78473,-0.0194695,0.37907
0,-4.78533,-0.0198674,0.378761
0,-5.95659,-0.992282,0.216565
0,-4.81739,-0.0421615,0.364854
0,-5.24914,-0.381672,0.281738
0,-5.78645,-0.872419,0.622338
0,-5.16792,-0.365336,0.548502
0,-5.10542,-0.264505,0.301507
0,-4.79636,-0.0273761,0.373443
0,-4.90081,-0.103906,0.340159
0,-4.80304,-0.0320166,0.370531
0,-5.14246,-0.294418,0.296023
0,-4.74923,-0.00156747,0.418772
0,-5.98675,-1.01938,0.214453
0,-5.53386,-0.665782,0.596347
0,-5.1286,-0.283196,0.298039
0,-8.33039,-3.01041,0.775629
0,-4.7686,-0.0239703,0.444916
0,-4.87778,-0.122014,0.489663
0,-7.72421,-2.48747,0.749198
0,-4.75464,-0.00132354,0.401772
0,-4.93968,-0.13366,0.331238
0,-7.77613,-2.53187,0.751626
0,-5.58705,-0.709295,0.602176
0,-6.18402,-1.19855,0.201485
0,-4.90383,-0.144378,0.496753
0,-4.92209,-0.120139,0.33514
0,-5.8198,-0.899713,0.625484
0,-5.88806,-0.93102,0.221508
0,-7.32623,-2.29916,0.145926
0,-4.74968,-8.3405e-005,0.411931
0,-5.35529,-0.519513,0.574988
0,-4.84231,-0.0602016,0.356318
0,-4.77017,-0.0255106,0.446034
0,-5.93115,-0.990895,0.635591
0,-4.82229,-0.0456702,0.363061
0,-5.2907,-0.466477,0.566426
0,-4.74923,-0.000445413,0.414616
0,-4.7959,-0.0497481,0.460548
0,-4.89032,-0.095965,0.342772
0,-4.975,-0.161057,0.32396
0,-6.49177,-1.48467,0.183705
0,-4.99729,-0.223448,0.518187
0,-5.65557,-0.726383,0.239989
0,-5.26475,-0.445146,0.562834
0,-6.96224,-1.93705,0.160874
0,-5.30399,-0.427112,0.275096
0,-4.8243,-0.0753121,0.472376
0,-4.87334,-0.0831915,0.347235
0,-5.63006,-0.704235,0.242205
0,-5.6362,-0.749504,0.60738
0,-4.94104,-0.176038,0.505909
0,-4.81461,-0.0666735,0.468639
0,-4.74935,-0.00028122,0.413643
0,-4.75042,-4.4554e-006,0.409414
0,-4.97337,-0.159787,0.324281
0,-5.72915,-0.825537,0.616791
0,-5.11509,-0.272289,0.300046
0,-4.90174,-0.142586,0.496206
0,-4.86253,-0.075127,0.350247
0,-5.47617,-0.618565,0.58977
0,-6.28415,-1.29077,0.195403
0,-4.92684,-0.123783,0.334065
0,-5.00929,-0.233506,0.520617
0,-4.93446,-0.129636,0.332376
0,-5.35171,-0.466947,0.269634
0,-4.75219,-0.00636271,0.427843
0,-5.21228,-0.351346,0.28645
0,-4.75718,-0.00253294,0.398675
0,-5.21684,-0.355094,0.285854
0,-4.75196,-0.000306075,0.405978
0,-4.83413,-0.0840045,0.475929
0,-5.26944,-0.398447,0.279231
0,-4.75831,-0.00310929,0.397471
0,-4.95643,-0.189049,0.50943
0,-4.75099,-0.00474179,0.425375
0,-6.56176,-1.55083,0.18001
0,-5.7032,-0.804305,0.614217
0,-4.88327,-0.126744,0.491213
0,-7.41911,-2.22789,0.734218
0,-4.79205,-0.046204,0.458689
0,-5.06963,-0.235805,0.307127
0,-6.11502,-1.1355,0.205863
0,-5.29147,-0.467113,0.566532
0,-5.41397,-0.519308,0.262896
0,-5.33121,-0.449801,0.271947
0,-4.92606,-0.163325,0.50234
0,-6.43284,-1.40346,0.675093
0,-4.74923,-0.00044396,0.414608
0,-5.17924,-0.374689,0.550263
0,-6.39593,-1.37298,0.672463
0,-4.82667,-0.0774086,0.473251
0,-5.37941,-0.539291,0.578057
0,-4.75764,-0.0127042,0.435318
0,-5.21976,-0.357491,0.285476
0,-4.81604,-0.0411935,0.365363
0,-5.08548,-0.248485,0.304597
0,-4.74914,-0.000681921,0.41574
0,-4.78267,-0.0374867,0.453793
0,-4.75072,-3.08746e-005,0.408643
0,-4.75997,-0.00400088,0.395813
0,-4.76408,-0.0194477,0.441408
0,-5.51989,-0.609353,0.252287
0,-5.11044,-0.317764,0.539158
0,-4.76008,-0.00405975,0.39571
0,-4.95613,-0.188802,0.509364
0,-5.00934,-0.233544,0.520626
0,-5.08643,-0.297836,0.535027
0,-7.71831,-2.48243,0.748921
0,-5.15301,-0.302977,0.294516
0,-5.7966,-0.880729,0.623302
0,-5.81354,-0.894592,0.624898
0,-5.24746,-0.43092,0.560387
0,-4.75228,-0.000404725,0.405393
0,-4.74929,-0.00034455,0.414045
0,-4.97709,-0.162691,0.323549
0,-4.84378,-0.0612794,0.355855
0,-4.78309,-0.0378813,0.454026
0,-6.29374,-1.28871,0.664979
0,-4.86323,-0.109429,0.485387
0,-4.85591,-0.103068,0.483133
0,-7.14429,-2.11685,0.153143
0,-4.90237,-0.105091,0.339779
0,-4.78512,-0.0397803,0.455131
0,-6.75623,-1.73677,0.170318
0,-5.17524,-0.321059,0.291414
0,-4.94946,-0.141212,0.329155
0,-4.78254,-0.018011,0.380231
0,-7.19139,-2.03564,0.722164
0,-5.62424,-0.699197,0.242715
0,-4.89362,-0.0984559,0.34194
0,-5.863,-0.908715,0.223368
0,-6.29591,-1.30166,0.194709
0,-5.73789,-0.798259,0.233112
0,-4.77612,-0.0312758,0.449952
0,-7.88823,-2.87867,0.126337
0,-5.41517,-0.568603,0.582493
0,-4.89525,-0.13703,0.494488
0,-5.68288,-0.787684,0.612173
0,-5.27276,-0.451733,0.563953
0,-4.82652,-0.0487134,0.361564
0,-5.3061,-0.479131,0.568515
0,-4.83586,-0.0554895,0.3584
0,-4.75222,-0.00038719,0.405491
0,-4.76554,-0.0071962,0.39105
0,-5.38992,-0.547903,0.579374
0,-5.20977,-0.349288,0.286779
0,-4.97681,-0.206238,0.513898
0,-4.99599,-0.177481,0.319929
0,-4.8373,-0.0867891,0.477028
0,-4.75393,-0.00850785,0.430669
0,-4.87384,-0.0835676,0.347098
0,-5.49328,-0.632565,0.591749
0,-5.32537,-0.494958,0.571086
0,-4.8083,-0.0357098,0.368368
0,-5.544,-0.630014,0.250004
0,-4.75,-0.00321812,0.422635
0,-5.0343,-0.207691,0.313037
0,-4.80783,-0.0605831,0.465859
0,-4.96625,-0.154239,0.325702
0,-5.26843,-0.397611,0.279354
0,-5.00442,-0.229422,0.519637
0,-5.19292,-0.385974,0.552356
0,-4.8035,-0.0323334,0.370341
0,-4.80619,-0.059099,0.465161
0,-7.08735,-2.06033,0.155503
0,-4.7492,-0.000500565,0.4149
0,-8.28818,-2.97368,0.773915
0,-4.761,-0.00456895,0.394853
0,-5.15341,-0.353346,0.54621
0,-5.54367,-0.673804,0.597438
0,-4.80222,-0.0314393,0.370881
0,-5.12028,-0.276478,0.299269
0,-6.38304,-1.36235,0.671536
0,-4.93177,-0.127566,0.332968
0,-4.86026,-0.106855,0.484483
0,-5.06511,-0.232196,0.307862
0,-4.94852,-0.182366,0.507637
0,-4.7534,-0.000806714,0.403547
0,-4.76411,-0.0194712,0.441427
0,-5.6238,-0.739361,0.606083
0,-5.52765,-0.615994,0.251548
0,-4.75271,-0.00702682,0.428762
0,-6.02169,-1.05086,0.212052
0,-5.14236,-0.294332,0.296038
0,-4.7579,-0.0129851,0.4356
0,-4.75729,-0.0123231,0.434931
0,-7.2578,-2.23029,0.148584
0,-4.77377,-0.0122935,0.385329
0,-4.89131,-0.096714,0.342521
0,-4.81016,-0.0626778,0.46683
0,-4.76216,-0.0174819,0.439758
0,-4.75044,-0.00393071,0.423982
0,-4.78882,-0.0222235,0.376995
0,-5.06829,-0.282756,0.531806
0,-5.16844,-0.365766,0.548584
0,-4.92785,-0.164841,0.502773
0,-5.56075,-0.6444,0.248445
0,-5.1198,-0.276093,0.299341
0,-5.31442,-0.435798,0.273878
0,-4.89492,-0.0994422,0.341614
0,-4.81034,-0.0628396,0.466904
0,-6.29664,-1.30234,0.194666
0,-5.05607,-0.272576,0.52958
0,-5.29497,-0.46999,0.567009
0,-5.39341,-0.501964,0.265076
0,-5.10671,-0.314674,0.538527
0,-5.94124,-0.97852,0.217655
0,-6.20471,-1.21754,0.200202
0,-5.48427,-0.62519,0.590709
0,-5.42316,-0.575145,0.583466
0,-5.17791,-0.373589,0.550057
0,-4.81465,-0.0667043,0.468653
0,-4.76468,-0.00668963,0.39172
0,-4.89033,-0.132812,0.493161
0,-4.88396,-0.0911658,0.344409
0,-5.17254,-0.318864,0.291785
0,-5.22932,-0.365343,0.284245
0,-5.29351,-0.468787,0.56681
0,-5.12545,-0.330211,0.54167
0,-4.80923,-0.0618414,0.466444
0,-4.79427,-0.0259361,0.374398
0,-4.87726,-0.121565,0.489514
0,-4.87249,-0.11745,0.488139
0,-4.90729,-0.108836,0.338592
0,-5.37088,-0.532296,0.576979
0,-5.20107,-0.342166,0.287926
0,-4.80911,-0.0362752,0.368048
0,-5.67259,-0.779271,0.611129
0,-5.87741,-0.921534,0.222295
0,-4.95778,-0.147659,0.327424
0,-5.57751,-0.701496,0.601147
0,-4.78028,-0.0165158,0.381472
0,-4.92268,-0.160448,0.501513
0,-4.75433,-0.0011907,0.402189
0,-5.46958,-0.566429,0.257203
0,-4.76431,-0.0196823,0.441599
0,-4.79681,-0.0276847,0.373242
0,-5.99639,-1.04437,0.64125
0,-4.75056,-1.37538e-005,0.409056
0,-5.82309,-0.902405,0.625792
0,-4.93187,-0.168256,0.50374
0,-6.94845,-1.83186,0.708359
0,-4.79457,-0.0485276,0.459915
0,-4.76732,-0.0226991,0.443965
0,-5.33549,-0.453375,0.271461
0,-4.95836,-0.148114,0.327304
0,-4.96156,-0.150592,0.326651
0,-4.88106,-0.0889864,0.345167
0,-4.77203,-0.0273298,0.447314
0,-4.79844,-0.052067,0.461729
0,-5.89726,-0.963134,0.632577
0,-5.4638,-0.561521,0.257781
0,-4.7851,-0.0197122,0.378882
0,-4.82415,-0.0470079,0.362397
0,-5.07003,-0.284205,0.532119
0,-6.5528,-1.54234,0.180477
0,-4.77555,-0.0307308,0.449598
0,-4.97737,-0.206702,0.514016
0,-4.75153,-0.00549438,0.426566
0,-5.28323,-0.460341,0.565402
0,-5.08639,-0.249218,0.304453
0,-5.5189,-0.608505,0.252382
0,-7.61243,-2.3921,0.743855
0,-5.31365,-0.485333,0.569528
0,-7.65567,-2.42894,0.745941
0,-4.8343,-0.0841552,0.475989
0,-6.00571,-1.05201,0.642044
0,-5.65738,-0.76683,0.609573
0,-5.06262,-0.230211,0.308269
0,-4.9155,-0.154335,0.499732
0,-4.95556,-0.145938,0.327882
0,-4.83524,-0.0550359,0.358605
0,-4.97,-0.200501,0.512428
0,-5.73474,-0.83011,0.61734
