# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf_model
# start_datetime = 2023-07-05 10:27:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf.data.r
# init = 2 (Default)
# random
#   seed = 750877595 (Default)
# output
#   file = examples\cf\cf2k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mean
-251.029,0.993957,0.0131195,8,255,0,251.873,-2.2161,-0.714903,0.206272,1.79057
-251.549,0.949178,0.0131195,7,151,0,253.615,-1.0368,1.26419,3.01655,1.70584
-251.186,0.976758,0.0131195,2,7,0,252.65,-0.957184,1.22453,3.11827,1.94617
-251.107,0.984572,0.0131195,7,215,0,252.956,2.21655,0.690837,0.429513,1.96079
-251.873,0.994048,0.0131195,8,307,0,252.114,0.156307,4.99119,1.24777,2.02793
-251.466,0.992729,0.0131195,9,511,0,252.481,5.34455,0.666945,-1.72856,1.83596
-251.333,0.997711,0.0131195,8,255,0,251.636,3.98733,1.19996,-2.93464,1.85002
-252.549,0.94008,0.0131195,8,255,0,253.737,6.83648,-0.266536,3.84593,2.02376
-250.972,0.999799,0.0131195,8,355,0,252.804,-1.9905,-1.21858,-0.609082,1.8165
-251.483,0.978783,0.0131195,3,15,0,251.709,-1.99252,-1.25487,-0.468733,2.03163
-252.414,0.970086,0.0131195,6,99,0,254.074,-1.61633,-2.21192,-1.97291,1.60229
-252.747,0.994821,0.0131195,7,163,0,253.329,-3.58929,-0.171277,0.961725,1.57649
-251.158,0.996408,0.0131195,7,255,0,253.501,-3.01396,-1.42888,-2.42129,1.88528
-251.284,0.935122,0.0131195,6,123,0,253.513,-1.58907,-1.44959,-0.575858,1.72764
-250.968,0.997089,0.0131195,7,183,0,251.866,0.101889,-1.67951,2.00284,1.83172
-253.506,0.871655,0.0131195,8,319,0,255.819,1.32363,7.44639,-7.86625,1.99004
-251.223,0.927597,0.0131195,8,335,0,255.334,-0.191932,3.63956,2.58904,1.89049
-251.231,0.876224,0.0131195,3,7,0,252.479,-0.192375,3.56786,2.59059,1.90423
-251.561,0.998995,0.0131195,8,383,0,252.185,4.29554,1.38046,-4.0873,1.84252
-250.953,0.997165,0.0131195,8,383,0,253.303,1.48362,1.85342,-0.911695,1.83807
-251.235,0.989375,0.0131195,7,175,0,251.481,1.61291,1.75734,-1.08975,1.74468
-252.393,0.98865,0.0131195,8,255,0,252.74,0.98372,5.47201,-3.7042,1.67872
-252.272,0.997072,0.0131195,8,511,0,252.792,1.54555,4.22304,-4.83419,1.69274
-252.031,0.751986,0.0131195,8,255,0,255.216,3.54584,2.18876,-5.79589,1.96511
-253.103,0.880192,0.0131195,6,113,0,257.354,2.03364,5.1008,-8.61041,1.76278
-251.74,0.979237,0.0131195,8,511,0,254.396,6.1232,0.596284,-1.85878,1.79239
-251.27,0.935731,0.0131195,7,233,0,255.255,4.06408,1.00149,-2.22801,1.84214
-251.448,0.993583,0.0131195,9,511,0,251.822,-0.801824,3.26168,4.4989,1.88361
-251.492,0.96074,0.0131195,8,511,0,252.425,2.18971,2.47681,-3.45287,1.97064
-252.678,0.930307,0.0131195,8,255,0,253.463,9.01373,0.588668,-3.43726,1.86883
-251.578,0.479996,0.0131195,8,255,0,254.327,-0.440753,4.12452,3.7663,1.9484
-251.504,0.952438,0.0131195,8,299,0,253.088,3.29226,0.944234,-1.38919,1.71947
-250.923,0.974429,0.0131195,6,115,0,252.963,2.05558,0.740244,0.314793,1.83642
-250.924,0.999679,0.0131195,9,511,0,251.001,1.60909,0.179795,1.54913,1.83844
-250.991,0.986638,0.0131195,7,243,0,252.51,1.16137,0.0375656,1.75295,1.79658
-251.867,0.991692,0.0131195,7,151,0,252.15,2.90247,1.22498,-1.88924,1.66623
-252.06,0.993985,0.0131195,4,31,0,252.402,2.88538,1.2154,-1.86419,1.64271
-252.192,0.921335,0.0131195,3,7,0,253.966,2.91292,1.35033,-1.8334,2.10001
-251.744,0.808703,0.0131195,5,55,0,258.9,2.54776,1.94448,-3.25034,1.70375
-251.064,0.990038,0.0131195,6,111,0,252.533,1.2819,2.3468,-1.07757,1.93078
-252.389,0.982224,0.0131195,8,255,0,252.52,6.04434,-0.103235,2.6763,2.05232
-252.353,0.986148,0.0131195,8,255,0,253.131,3.99953,-0.891657,5.24961,1.68341
-253.61,0.871967,0.0131195,2,3,0,254.196,4.0111,-0.79,5.34118,2.17241
-252.336,1,0.0131195,2,3,0,253.769,4.05748,-0.87675,5.24427,1.68687
-252.053,0.996069,0.0131195,5,55,0,252.934,4.55411,-0.924509,6.00789,1.79758
-252.096,0.9979,0.0131195,5,35,0,252.17,4.55907,-0.905327,6.06854,1.94109
-252.867,0.877393,0.0131195,5,59,0,254.077,3.74781,-1.10207,5.7617,1.63134
-251.787,1,0.0131195,2,7,0,252.704,3.72739,-1.04752,5.78847,1.88396
-254.938,0.996167,0.0131195,8,255,0,255.908,1.47486,-7.1323,12.3587,1.83954
-254.562,0.958592,0.0131195,7,127,0,255.913,1.84507,-5.64236,12.3059,1.89534
-252.708,0.93498,0.0131195,8,255,0,255.779,0.0903865,-8.00592,2.43042,1.70679
-252.564,0.942496,0.0131195,6,75,0,252.678,0.0745263,-8.73782,2.58424,1.93304
-252.537,0.705896,0.0131195,6,127,0,253.175,0.0993646,-7.45482,2.4479,1.70715
-251.739,0.456416,0.0131195,8,511,0,255.478,2.2486,-1.08335,4.14893,1.71292
-251.835,0.965066,0.0131195,7,183,0,255.115,-4.99805,0.0200158,1.81303,1.71299
-253.684,0.919842,0.0131195,9,511,0,254.958,-0.792061,6.54355,6.81548,1.63258
-253.264,0.974583,0.0131195,2,3,0,254.024,-0.7223,6.57683,6.79595,2.04551
-252.405,0.997946,0.0131195,6,79,0,252.994,-0.659251,6.46218,6.10878,1.84858
-251.91,0.841732,0.0131195,7,157,0,255.436,-2.49468,1.85374,6.4253,1.80082
-251.373,0.989304,0.0131195,8,255,0,253.07,-4.10963,-0.803003,-1.52656,1.77349
-251.069,0.930578,0.0131195,8,511,0,252.578,-1.39375,0.857992,3.02728,1.83145
-251.46,0.986574,0.0131195,4,31,0,251.839,-1.26529,1.03333,3.02834,1.72088
-251.113,0.999836,0.0131195,3,7,0,251.526,-1.18505,0.973296,3.07595,1.92255
-251.088,0.988702,0.0131195,4,31,0,251.763,-1.13146,0.924687,2.96547,1.91923
-251.056,0.998502,0.0131195,9,1023,0,251.41,0.0992151,2.01973,1.58888,1.78927
-251.323,0.855152,0.0131195,7,255,0,254.692,0.531577,3.96528,-0.145234,1.96262
-251.203,0.955294,0.0131195,7,235,0,252.995,3.13196,0.622288,0.0127813,1.96177
-251.171,0.999425,0.0131195,8,307,0,251.901,-1.40581,-3.01542,-2.33573,1.9034
-251.758,0.970982,0.0131195,8,255,0,252.412,-0.396265,-5.65859,-0.500055,1.74225
-252.471,0.769073,0.0131195,7,143,0,254.062,-0.388403,-7.23481,-1.11666,1.69336
-251.555,0.998198,0.0131195,8,511,0,253.327,3.05189,-1.08435,5.17063,1.86132
-251.322,0.98647,0.0131195,8,271,0,253.951,0.618204,4.11059,-0.587221,1.95396
-251.725,0.889218,0.0131195,9,511,0,252.836,-0.724619,1.98795,3.47599,2.03549
-251.604,0.984667,0.0131195,7,239,0,253.048,-1.343,1.68172,3.98452,1.72597
-251.666,0.991187,0.0131195,8,407,0,252.375,-2.41588,-0.812465,0.0923114,2.05512
-252.629,0.972462,0.0131195,6,103,0,254.008,-4.20216,-0.199298,0.757532,1.59502
-253.228,0.844878,0.0131195,6,95,0,256.688,-5.40716,-0.139928,1.40741,2.16403
-251.412,0.9947,0.0131195,7,127,0,254.239,-1.53364,0.909294,3.38344,1.98891
-251.031,0.995054,0.0131195,6,127,0,252.255,-1.22086,-0.389255,1.30161,1.77684
-250.873,0.998715,0.0131195,7,255,0,251.489,0.760011,0.543669,1.43576,1.84895
-252.769,0.91464,0.0131195,8,305,0,254.695,-6.59627,0.764044,6.97633,1.93648
-251.469,0.915651,0.0131195,7,185,0,255.14,-3.23273,0.851514,4.59055,1.83783
-252.083,0.997937,0.0131195,8,511,0,252.765,-4.62039,-1.74807,-6.23289,1.84388
-251.151,0.71569,0.0131195,8,255,0,255.686,0.858838,2.80083,-0.449933,1.95552
-251.528,0.961351,0.0131195,7,223,0,253.309,0.184749,4.429,0.922175,1.74043
-253.081,0.841223,0.0131195,8,255,0,254.123,1.09149,4.74739,-3.03323,2.1485
-252.11,0.968295,0.0131195,8,511,0,254.013,0.0532233,6.82645,1.62683,1.99016
-253.02,0.984656,0.0131195,8,255,0,254.133,-1.17369,5.35817,8.2635,1.97467
-253.825,0.518676,0.0131195,2,3,0,256.253,-1.13341,5.36463,8.17694,2.09661
-253.052,0.985983,0.0131195,8,283,0,254.451,6.11122,-0.792743,6.53185,1.68722
-253.068,0.90247,0.0131195,7,127,0,253.998,6.99541,-0.571651,5.68657,1.68764
-253.27,0.646942,0.0131195,9,511,0,255.055,0.455418,8.25329,-2.11814,1.64056
-251.18,0.84251,0.0131195,7,157,0,254.326,0.523537,2.89234,0.251344,1.76559
-251.486,0.96301,0.0131195,8,255,0,253.746,-2.68729,-0.285858,0.936365,1.70455
-251.987,0.921744,0.0131195,7,223,0,255.598,-1.05117,0.560952,2.22509,1.63544
-252.198,0.995914,0.0131195,6,103,0,253.646,0.857317,0.815047,0.906659,1.60541
-251.963,0.996923,0.0131195,3,7,0,252.793,0.875713,0.87019,0.867248,1.62929
-251.818,0.99955,0.0131195,4,31,0,252.275,0.932338,1.15039,1.00924,2.08179
-250.91,0.948267,0.0131195,2,7,0,254.705,0.870714,1.11037,0.944007,1.91082
-251.12,0.981964,0.0131195,2,7,0,251.718,0.825567,1.07115,0.866545,1.75085
-251.241,0.986297,0.0131195,7,183,0,253.508,1.51882,2.17467,-1.32531,1.97761
-251.415,0.990768,0.0131195,7,223,0,252.231,0.110063,2.18039,1.77406,2.01405
-252.818,0.954856,0.0131195,4,23,0,253.294,0.179947,2.51679,1.71356,2.16645
-251.531,0.997718,0.0131195,6,79,0,253.541,-0.0462923,1.9133,1.78224,1.69367
-252.662,0.94784,0.0131195,2,3,0,252.785,-0.099651,1.89021,1.75979,1.57143
-251.231,0.987571,0.0131195,6,71,0,254.798,0.101741,2.36676,1.50913,1.74993
-251.044,0.99963,0.0131195,8,255,0,251.355,-0.407519,0.429121,2.1223,1.94742
-251.857,0.98709,0.0131195,7,143,0,253.203,1.7515,1.03799,-0.173004,1.64503
-252.868,0.982372,0.0131195,6,119,0,254.609,2.44488,1.73108,-2.06825,2.16404
-251.49,0.999942,0.0131195,4,23,0,253.077,2.43025,1.58974,-1.85005,2.01341
-251.046,0.973403,0.0131195,5,55,0,252.512,2.42075,1.48577,-1.75713,1.83955
-252.33,0.910907,0.0131195,3,7,0,252.751,2.50948,1.52571,-1.71031,2.11842
-253.554,0.983634,0.0131195,7,215,0,254.632,2.41917,2.42859,-4.33719,1.538
-251.741,0.955773,0.0131195,7,223,0,255.814,3.84813,0.163675,1.40718,2.03703
-251.16,1,0.0131195,2,3,0,251.712,3.86538,0.131949,1.37952,1.88955
-251.509,0.82175,0.0131195,4,31,0,254.862,3.39158,0.170899,1.13622,1.71584
-251.733,0.934784,0.0131195,3,7,0,253.148,3.44799,0.218741,0.927657,1.68188
-253.472,0.939179,0.0131195,8,255,0,255.742,4.96569,-1.62631,9.84628,1.77053
-253.045,0.992455,0.0131195,9,511,0,254.68,1.90663,5.33457,-8.4016,1.76943
-252.33,0.821259,0.0131195,9,511,0,255.293,-5.46716,0.880136,6.6411,1.82926
-252.041,0.999973,0.0131195,8,511,0,252.6,-3.54195,1.38406,6.79659,1.89431
-252.427,0.89551,0.0131195,2,3,0,253.083,-3.54218,1.35199,6.79607,2.00706
-251.878,0.913486,0.0131195,7,235,0,255.071,3.58508,0.313262,0.541119,1.66419
-251.471,0.975661,0.0131195,5,43,0,253.003,4.20217,0.266318,0.623316,1.74243
-251.472,0.968028,0.0131195,9,511,0,252.4,-0.754348,1.54206,3.16965,2.0064
-251.538,0.996064,0.0131195,8,271,0,251.938,-1.98702,0.00870967,1.71007,1.69276
-252.484,0.980769,0.0131195,7,183,0,254.328,3.50059,1.1053,-1.74541,2.12378
-251.427,0.996192,0.0131195,7,231,0,253.935,3.29426,0.240626,1.20777,2.00046
-251.484,0.980897,0.0131195,6,127,0,252.724,4.10689,0.229243,1.04843,1.9899
-251.109,0.999151,0.0131195,6,103,0,251.746,3.01492,0.266796,0.99089,1.79526
-250.987,0.999884,0.0131195,8,511,0,251.32,1.3713,-0.439115,2.43803,1.83587
-251.314,0.996739,0.0131195,8,511,0,252.324,4.95027,0.227029,0.751003,1.87486
-251.068,0.99917,0.0131195,8,287,0,252.192,3.52067,0.489468,0.125871,1.84913
-250.925,0.987722,0.0131195,8,511,0,251.463,-0.797801,-2.17037,0.152717,1.88424
-253.313,0.86489,0.0131195,2,3,0,253.588,-0.894425,-2.16009,0.278383,2.21042
-252.611,0.994234,0.0131195,3,7,0,254.209,-0.913451,-2.14568,0.195424,2.15539
-255.352,0.910469,0.0131195,3,7,0,255.618,-0.643691,-2.17193,-0.00463902,1.39341
-253.989,1,0.0131195,2,3,0,255.333,-0.671424,-2.16575,0.0182533,1.47239
-253.128,0.984767,0.0131195,2,7,0,254.865,-0.715409,-2.12988,0.00791895,1.53166
-253.129,0.998939,0.0131195,3,7,0,253.542,-0.937547,-2.0785,0.248569,2.19726
-251.924,0.998054,0.0131195,2,3,0,253.261,-0.907067,-2.06208,0.219055,2.0895
-254.486,0.940541,0.0131195,3,7,0,254.948,-0.990568,-2.10537,0.2014,2.28691
-251.242,0.980922,0.0131195,5,39,0,256.626,-0.42284,-2.58619,0.651479,1.74502
-251.08,0.863992,0.0131195,3,7,0,254.811,-0.536186,-2.5988,0.549672,1.94311
-251.554,0.914267,0.0131195,8,255,0,253.102,0.894956,-0.901295,2.49986,1.69325
-251.377,0.995461,0.0131195,7,143,0,252.853,0.672567,-1.46107,2.71152,1.72885
-252.324,0.97489,0.0131195,5,63,0,253.585,1.3574,-1.10478,3.60836,2.10872
-252.045,0.978728,0.0131195,7,159,0,254.646,-1.39423,-2.14707,-1.35992,1.63359
-251.622,0.965683,0.0131195,4,31,0,253.645,-1.2601,-2.43739,-1.02781,2.04354
-251.039,0.983472,0.0131195,1,3,0,251.952,-1.22784,-2.42096,-1.0534,1.91915
-251.07,0.999498,0.0131195,8,383,0,251.587,-2.80403,-0.109493,1.60794,1.91497
-250.892,0.996912,0.0131195,8,511,0,251.455,-0.605124,0.093358,1.92588,1.86938
-251.164,0.997971,0.0131195,8,335,0,251.451,3.31359,0.498707,0.131809,1.78432
-251.238,0.962659,0.0131195,5,47,0,252.179,3.67497,0.411873,0.437899,1.95152
-251.181,0.965046,0.0131195,9,511,0,253.377,2.59586,1.74181,-2.61292,1.90857
-251.218,0.995128,0.0131195,9,511,0,251.394,-2.40438,0.492472,2.97415,1.79006
-250.963,0.997025,0.0131195,8,255,0,251.518,-1.92721,-1.44071,-0.943588,1.83295
-251.163,0.988892,0.0131195,7,243,0,252.686,-3.16503,-0.538935,0.073227,1.77898
-253.196,0.963415,0.0131195,8,255,0,253.694,-1.02373,-8.31121,-6.70853,1.79992
-253.018,0.590935,0.0131195,7,127,0,253.468,-0.946235,-8.45815,-6.1511,1.8523
-253.018,0.0603752,0.0131195,7,145,0,257.082,-0.946235,-8.45815,-6.1511,1.8523
-254.294,0.340731,0.0131195,5,35,0,254.678,-0.952567,-8.78147,-6.26167,2.10326
-253.63,0.548587,0.0131195,4,23,0,255.344,-0.934412,-9.02661,-6.43885,1.99572
-253.455,0.0488855,0.0131195,5,31,0,254.767,-0.93818,-8.99337,-6.48061,1.95679
-253.835,0.230505,0.0131195,4,31,0,254.618,-0.9086,-8.84522,-6.35066,1.68611
-253.016,0.511107,0.0131195,5,63,0,254.888,-0.88552,-8.65323,-5.75948,1.90313
-254.065,0.0845398,0.0131195,8,255,0,257.742,-1.50672,-7.52785,-9.58698,1.75539
-251.115,0.999394,0.0131195,8,255,0,256.35,3.04158,0.948236,-1.08223,1.80191
-251.312,0.997553,0.0131195,9,511,0,251.793,3.81286,-0.106996,2.34384,1.93588
