# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf10_model
# start_datetime = 2023-07-05 12:39:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf10.data.r
# init = 2 (Default)
# random
#   seed = 758770126 (Default)
# output
#   file = examples\cf\cf10_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mean
# Adaptation terminated
# Step size = 0.00115335
# Diagonal elements of inverse mass matrix:
# 26.9334, 21.0976, 23.3178, 19.5507, 27.7658, 16.8963, 26.1204, 25.9459, 28.472, 22.7872, 31.3942, 33.4077, 28.4282, 24.8712, 31.0135, 31.6516, 35.3865, 36.2015, 26.031, 27.042, 27.6938
-14819,0.995123,0.00115335,10,1023,0,14830.5,3.67313,0.456935,-1.27154,-2.22656,4.25419,10.166,3.18521,4.94581,0.0966669,-2.57185,-5.44294,-2.87976,1.91035,1.48161,-4.81971,-9.09615,0.977233,-0.999515,-1.09583,-7.5145,1.18255,149.723
-14824,0.960888,0.00115335,10,1023,0,14828,10.2471,-1.83802,-1.78135,-5.39808,3.73121,11.7988,7.57043,2.37476,4.4994,-4.16289,-2.61238,-5.20244,0.21966,-0.71514,-2.35797,-4.80474,2.41699,1.05783,-7.38048,-9.7096,3.26303,149.888
-14823.5,0.81934,0.00115335,10,1023,0,14831,8.72683,1.50127,-3.32419,-4.58795,2.89986,13.1921,6.59138,0.410076,1.08335,-3.96073,-5.03803,-1.22076,-2.06073,6.37398,-4.36918,-6.8832,-0.555723,-4.02141,-6.47181,-7.87218,2.31277,149.754
-14826.8,0.999814,0.00115335,10,1023,0,14833.8,11.4171,1.93287,-7.23854,-1.0302,2.86433,14.0285,5.8504,3.13865,3.01536,-2.16549,-6.88193,-2.29257,-4.42644,8.94328,-4.81134,-5.93111,2.02197,-1.19151,-5.07207,-9.4476,2.19347,149.747
-14824.6,0.677018,0.00115335,10,1023,0,14838.3,5.32292,5.00413,-9.97814,-8.18485,0.657255,13.74,3.32467,-0.532788,-5.32969,-3.02213,-3.50815,-2.72108,-3.14583,2.11227,-6.18995,-6.36185,4.56936,-6.03443,1.66482,-3.92503,0.524789,149.916
-14824.8,0.958855,0.00115335,10,1023,0,14834.8,5.48292,4.93788,-10.2353,-8.51407,0.387762,13.7701,3.79378,-0.266684,-6.32382,-2.60213,-3.36594,-3.38581,-3.18814,1.63853,-5.54354,-6.16773,4.79562,-6.51987,1.8799,-3.81965,1.32278,149.637
-14825.9,0.877244,0.00115335,10,1023,0,14834.9,1.73287,4.8916,-10.3356,-6.55304,-0.131295,9.88076,1.05347,-2.8657,-5.44278,-5.11269,3.84903,-6.16015,-6.72307,2.05996,-7.46004,-12.0974,-1.08161,-7.37008,-5.05303,-1.92665,3.3096,149.71
-14823.3,0.951959,0.00115335,10,1023,0,14838.5,5.77472,7.13049,-7.51777,-3.48734,3.95343,7.43303,-1.31341,-5.94701,-1.40037,-9.64676,-0.142637,-9.36545,3.66877,3.69595,-2.82954,-9.3485,-5.41173,2.27794,1.31922,1.64198,-0.930293,149.691
-14825.4,0.954311,0.00115335,10,1023,0,14833.7,10.4421,2.1073,-4.40452,-5.30968,5.28232,10.3874,-2.00594,-4.06432,0.00208767,-6.20859,0.777549,-4.78849,0.190461,5.61395,-2.66164,-8.56995,-1.92773,10.8038,6.52734,6.55972,2.82775,149.652
-14824.7,0.997513,0.00115335,10,1023,0,14834,10.1961,5.68639,5.42742,-6.2359,5.0061,13.5244,-0.844181,-0.630471,0.378592,-8.65057,-4.37421,-3.57885,0.498641,5.2379,-2.32502,2.14787,-3.65124,1.18181,6.59395,4.50317,6.32523,149.727
-14821.3,0.90648,0.00115335,10,1023,0,14835.9,8.48171,3.29414,1.55873,-2.61574,1.68217,10.033,0.0391227,-1.96548,-2.28408,-6.61981,-3.94779,-4.5658,4.09888,6.23164,-2.14273,3.3969,-3.199,1.76091,8.88944,4.91351,1.78653,149.929
-14826.5,0.955464,0.00115335,10,1023,0,14837.3,10.7615,1.3405,3.58315,-3.02571,4.45145,13.49,0.0394107,-10.1359,-4.61336,-5.72875,-2.96718,0.0231919,3.9958,12.3305,-3.32202,-2.89535,0.796264,-1.15234,1.07509,2.43634,-0.110655,150.006
-14824.3,0.997666,0.00115335,10,1023,0,14836.7,6.96842,0.319122,4.26799,-2.23968,6.48062,13.9275,0.666767,-11.1851,-5.88199,-4.57684,-0.445309,0.855082,3.34296,10.9681,-3.69744,-3.79027,0.471567,0.140326,-1.05788,2.68984,0.263145,149.789
-14824.3,0.941537,0.00115335,10,1023,0,14834.1,3.81067,-3.12706,6.67043,-1.8403,7.83901,11.4013,2.00086,-10.0131,-6.28203,-2.75328,4.8848,3.89341,8.07681,6.07879,-7.97858,-0.102289,-3.42653,0.637406,1.11068,-1.13779,2.67899,149.626
-14831.1,0.938701,0.00115335,10,1023,0,14842.8,9.79515,-5.50024,1.23155,0.52053,16.6444,10.6017,1.92726,-9.31147,-2.86715,-0.683374,12.0256,-0.431146,8.68753,7.26101,-7.17934,1.58378,0.552591,6.01924,0.875879,-3.8418,1.19048,149.729
-14842.2,0.677289,0.00115335,10,1023,0,14851.5,16.1727,-6.24185,-2.57471,3.37036,20.1953,9.43834,2.49089,-11.3713,-3.81928,-4.07372,9.16257,0.891091,12.273,7.50404,-12.715,3.51425,2.4418,6.436,-0.0808178,-7.52022,1.51317,149.798
-14841.1,0.99956,0.00115335,10,1023,0,14858.5,17.2047,-2.417,-2.33029,1.63747,12.7283,13.1772,-2.88666,-18.2499,1.31144,-3.31563,9.35355,-5.51185,6.36664,7.72325,-11.6779,-0.105349,4.38767,6.23802,-0.13385,-8.68984,3.23109,149.712
-14830.9,0.977165,0.00115335,10,1023,0,14846.5,14.9783,-1.80558,-1.1224,-0.290375,9.35231,8.00926,-4.74948,-18.608,-3.12475,-2.51925,3.75431,-3.17546,2.6219,6.0534,-4.22493,1.67218,2.68678,7.80876,1.7822,-4.05195,6.54056,149.7
-14824.8,0.779797,0.00115335,10,1023,0,14843.9,8.73198,1.34029,-6.05299,-1.24886,14.1258,2.51181,-3.06498,-11.0099,-0.956827,-4.41831,-0.375194,-3.30211,5.06277,0.287197,3.96049,0.934679,5.2633,0.0341549,7.63106,6.55833,-0.985287,149.592
-14826,0.998955,0.00115335,10,1023,0,14832,6.19838,4.97442,-8.31176,-1.44453,12.9096,0.729973,-6.16718,-11.7575,-8.16242,-2.19717,3.43078,-1.28403,4.92365,0.83665,1.34389,4.80729,5.7802,-4.1719,6.67997,4.70207,-2.10627,149.667
-14832.8,0.838932,0.00115335,10,1023,0,14839.5,8.12801,3.21819,-6.2474,-1.88447,15.0926,3.9761,-3.75249,-13.3858,-11.0164,-2.07364,2.96652,-1.71141,6.46721,-5.07193,-0.0431611,5.08791,9.70739,-2.49609,7.84047,6.00059,-1.21612,149.441
