# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = trueskills_model
# start_datetime = 2023-01-12 09:11:41 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2892587329 (Default)
# output
#   file = examples\trueskills\trueskillsvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,skillA,skillB,skillC,perfA,perfB,perfC
# Stepsize adaptation complete.
# eta = 1
0,-40.6212,-0.544507,68.0552,57.4663,69.8029,43.8326,39.9085,40.7328
0,-43.1034,-1.60162,60.8591,55.485,70.4858,42.3718,26.7891,35.6894
0,-47.905,-1.75509,59.0798,54.484,54.0883,47.8992,45.7144,40.6702
0,-41.7516,-1.75961,69.2987,58.4948,76.8208,37.8002,34.2465,28.5817
0,-35.8697,-1.37856,77.2248,61.6807,68.2357,48.6748,41.2378,40.9909
0,-37.1804,-1.58822,79.799,58.8906,67.6114,48.4592,43.4963,44.3707
0,-40.084,-0.766867,74.5182,60.8839,67.2453,40.1381,34.3965,36.7045
0,-49.2609,-1.93363,55.0375,53.3228,63.7506,39.1676,36.5059,37.3098
0,-42.0906,-1.62065,72.0613,63.6619,65.1264,38.078,37.1669,33.927
0,-41.4914,-0.769318,59.9466,64.3264,69.4714,42.9577,41.2154,38.3983
0,-32.1003,-2.84789,74.7599,69.8827,65.6056,61.2015,53.311,58.0045
0,-44.4573,-4.14734,63.9867,84.0384,67.6881,34.406,29.1961,11.1582
0,-36.6186,-1.91543,69.1568,75.8215,67.953,47.053,45.667,45.0685
0,-41.1357,-3.03016,51.0022,69.3004,72.7652,51.4312,43.7335,49.9311
0,-35.4456,-2.81215,65.7735,69.9124,79.6717,48.6042,30.8073,41.5452
0,-47.9096,-3.03511,72.2528,42.2354,67.6041,40.1251,34.0016,37.0491
0,-42.0938,-2.96011,75.4033,53.8795,74.8081,41.9133,37.2166,22.2925
0,-48.647,-5.12579,73.7862,52.4655,77.7367,28.9668,28.2132,23.5438
0,-54.7875,-5.63523,48.9259,48.1498,51.4257,50.3554,41.527,29.4015
0,-49.0802,-3.07845,53.272,58.238,55.4359,45.8324,43.5648,23.2556
0,-54.6364,-8.48645,63.8739,31.861,83.9989,40.4409,32.1233,38.596
0,-36.8029,-0.823886,70.4696,72.1908,68.895,43.6942,41.2202,37.7746
0,-31.5628,-4.60373,68.7331,88.1896,76.277,53.1882,47.2494,48.1044
0,-52.9091,-4.41915,50.8385,69.5553,42.8142,46.0979,43.8394,41.9917
0,-43.09,-0.906818,60.0432,64.1045,63.1202,41.9422,40.2949,32.8005
0,-48.0217,-3.14346,64.4675,71.715,63.2297,31.8015,27.5385,1.13647
0,-45.2245,-1.23395,59.6679,51.595,66.8611,46.3182,43.6297,40.6421
0,-35.8019,-3.04907,76.4623,61.4514,61.2584,55.8194,37.028,45.2955
0,-42.2334,-3.38404,62.8764,69.708,56.868,52.7438,27.1805,51.5688
0,-49.525,-5.15053,47.0977,71.4542,67.3264,36.1813,35.161,35.2966
0,-44.075,-3.17654,84.3791,53.3495,63.9688,36.9645,30.9168,30.2389
0,-41.9878,-3.26183,71.4939,45.6036,71.4779,55.8633,50.8279,52.2127
0,-49.5196,-3.04595,53.9327,60.0668,70.1716,29.7565,24.6115,28.2314
0,-43.1912,-1.17937,62.2404,65.6327,70.2379,35.8255,34.0272,32.7451
0,-51.2373,-3.18233,53.385,52.3029,52.6367,46.9656,43.4194,32.2597
0,-48.2902,-2.99007,77.3673,53.6709,56.0019,34.665,33.2941,31.1355
