median	q1	q3
-8.36438507446792	-9.145340054242086	-7.706908184248613
-8.337159625994836	-9.145340054242086	-7.706908184248613
-8.293837897231459	-9.131170938852156	-7.677952499530033
-8.261190829613167	-9.102840648472526	-7.594412895781165
-8.261190829613167	-9.102840648472526	-7.594412895781165
-8.241149715795654	-9.102840648472526	-7.594412895781165
-8.229359554579485	-9.102840648472526	-7.594412895781165
-8.158216727981241	-9.036869374931324	-7.593829762017742
-8.154694465788914	-8.99428926856106	-7.593829762017742
-8.154694465788914	-8.99428926856106	-7.593829762017742
-8.101390870388226	-8.99428926856106	-7.593829762017742
-8.101390870388226	-8.99428926856106	-7.593829762017742
-8.081421582820777	-8.987376343026009	-7.593829762017742
-8.081421582820777	-8.987376343026009	-7.593829762017742
-8.06339904289224	-8.987376343026009	-7.557521631233946
-8.06339904289224	-8.987376343026009	-7.557521631233946
-8.004156067796028	-8.885710081059141	-7.557521631233946
-8.004156067796028	-8.885710081059141	-7.557521631233946
-7.980085500600929	-8.885710081059141	-7.557521631233946
-7.980085500600929	-8.885710081059141	-7.557521631233946
-7.980085500600929	-8.885710081059141	-7.557521631233946
-7.980085500600929	-8.885710081059141	-7.557521631233946
-7.980085500600929	-8.885710081059141	-7.557521631233946
-7.980085500600929	-8.693309267649354	-7.41382824898797
-7.980085500600929	-8.693309267649354	-7.41382824898797
-7.980085500600929	-8.693309267649354	-7.41382824898797
-7.980085500600929	-8.693309267649354	-7.41382824898797
-7.9700856037182675	-8.693309267649354	-7.41382824898797
-7.939099810605386	-8.693309267649354	-7.41382824898797
-7.939099810605386	-8.668316856413629	-7.41382824898797
-7.939099810605386	-8.668316856413629	-7.402863086118579
-7.939099810605386	-8.668316856413629	-7.402863086118579
-7.939099810605386	-8.626537703418439	-7.384357278894404
-7.939099810605386	-8.626537703418439	-7.384357278894404
-7.93251172643499	-8.626537703418439	-7.384357278894404
-7.93251172643499	-8.626537703418439	-7.341728768936123
-7.90430357332046	-8.626537703418439	-7.341728768936123
-7.875634176519826	-8.626537703418439	-7.341728768936123
-7.875634176519826	-8.403570882838599	-7.341728768936123
-7.875634176519826	-8.393284838175727	-7.315080737239523
-7.875634176519826	-8.393284838175727	-7.315080737239523
-7.875634176519826	-8.393284838175727	-7.295708751022374
-7.846312199968031	-8.393284838175727	-7.295708751022374
-7.846312199968031	-8.393284838175727	-7.295708751022374
-7.846312199968031	-8.386524701533476	-7.295708751022374
-7.843319702071458	-8.365072997611515	-7.295708751022374
-7.838035636994132	-8.365072997611515	-7.295708751022374
-7.770955144398977	-8.365072997611515	-7.295708751022374
-7.770955144398977	-8.365072997611515	-7.295708751022374
-7.770955144398977	-8.365072997611515	-7.295708751022374
-7.770955144398977	-8.365072997611515	-7.295708751022374
-7.7664878471267444	-8.365072997611515	-7.295708751022374
-7.766412018403972	-8.333132649216754	-7.295708751022374
-7.766412018403972	-8.333132649216754	-7.229683990067953
-7.738925312787106	-8.333132649216754	-7.229683990067953
-7.730002582916006	-8.311604127318997	-7.229683990067953
-7.709049160362658	-8.311604127318997	-7.200913281095534
-7.683045305033367	-8.311604127318997	-7.200913281095534
-7.683045305033367	-8.311604127318997	-7.200913281095534
-7.683045305033367	-8.24807884709804	-7.200913281095534
-7.638773123036245	-8.207009983286348	-7.200913281095534
-7.638773123036245	-8.186324276458175	-7.200913281095534
-7.638773123036245	-8.184045025072097	-7.174815130430382
-7.638773123036245	-8.184045025072097	-7.174815130430382
-7.638773123036245	-8.184045025072097	-7.174815130430382
-7.6273275362838415	-8.184045025072097	-7.174815130430382
-7.6273275362838415	-8.184045025072097	-7.174815130430382
-7.6273275362838415	-8.184045025072097	-7.174815130430382
-7.6273275362838415	-8.184045025072097	-7.174815130430382
-7.6273275362838415	-8.134352405841538	-7.174815130430382
-7.6273275362838415	-8.134352405841538	-7.174815130430382
-7.6273275362838415	-8.134352405841538	-7.174815130430382
-7.6273275362838415	-8.134352405841538	-7.174815130430382
-7.6273275362838415	-8.134352405841538	-7.174815130430382
-7.6273275362838415	-8.134352405841538	-7.174815130430382
-7.6024911302562845	-8.134352405841538	-7.174815130430382
-7.6024911302562845	-8.134352405841538	-7.174815130430382
-7.6024911302562845	-8.134352405841538	-7.174677521025298
-7.6024911302562845	-8.064614623760978	-7.174677521025298
-7.6024911302562845	-8.064614623760978	-7.174677521025298
-7.6024911302562845	-8.064614623760978	-7.174677521025298
-7.6024911302562845	-8.064614623760978	-7.174677521025298
-7.6024911302562845	-8.064614623760978	-7.174677521025298
-7.6024911302562845	-8.064614623760978	-7.174677521025298
-7.6024911302562845	-8.037047944558212	-7.174677521025298
-7.6024911302562845	-8.020919878423436	-7.174677521025298
-7.6024911302562845	-8.011863067629946	-7.174677521025298
-7.6024911302562845	-8.011863067629946	-7.174677521025298
-7.6024911302562845	-8.011863067629946	-7.174677521025298
-7.6024911302562845	-8.011863067629946	-7.174677521025298
-7.6024911302562845	-8.011863067629946	-7.162981170363231
-7.6024911302562845	-8.011863067629946	-7.162981170363231
-7.565282345137969	-7.995168782317451	-7.162981170363231
-7.563521244834377	-7.995168782317451	-7.162981170363231
-7.563521244834377	-7.995168782317451	-7.162981170363231
-7.539232030871203	-7.995168782317451	-7.162981170363231
-7.539232030871203	-7.9871972466841585	-7.162981170363231
