median	q1	q3
-inf	-inf	-3.9564561251386845
-inf	-inf	-3.9564561251386845
-inf	-inf	-3.651319732808697
-inf	-inf	-3.651319732808697
-inf	-inf	-3.651319732808697
-inf	-inf	-3.651319732808697
-inf	-inf	-3.651319732808697
-inf	-inf	-2.90825998267084
-inf	-inf	-2.90825998267084
-inf	-inf	-2.855101421641933
-inf	-inf	-2.855101421641933
-inf	-inf	-2.5154276931453023
-inf	-inf	-2.5082615006929103
-inf	-inf	-2.5082615006929103
-inf	-inf	-2.4859681849177995
-inf	-inf	-2.4859681849177995
-inf	-inf	-2.4859681849177995
-inf	-inf	-2.4859681849177995
-inf	-inf	-2.4859681849177995
-inf	-inf	-2.4859681849177995
-inf	-inf	-2.4859681849177995
-inf	-inf	-2.411072210381779
-inf	-inf	-2.411072210381779
-inf	-inf	-2.411072210381779
-inf	-inf	-2.128594452231394
-inf	-inf	-2.128594452231394
-inf	-inf	-2.128594452231394
-inf	-inf	-2.128594452231394
-inf	-inf	-2.128594452231394
-inf	-inf	-2.128594452231394
-inf	-inf	-2.0530161737492088
-inf	-inf	-2.0530161737492088
-inf	-inf	-2.0530161737492088
-inf	-inf	-2.0530161737492088
-inf	-inf	-2.0530161737492088
-inf	-inf	-2.0530161737492088
-inf	-inf	-2.0530161737492088
-inf	-inf	-2.0530161737492088
-inf	-inf	-2.0530161737492088
-inf	-inf	-2.0530161737492088
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.044802771583542
-inf	-inf	-2.0389698991439857
-inf	-inf	-2.0389698991439857
-inf	-inf	-2.0389698991439857
-inf	-inf	-2.0389698991439857
-inf	-inf	-2.0389698991439857
-inf	-inf	-2.0389698991439857
-inf	-inf	-2.0389698991439857
-inf	-inf	-2.0389698991439857
-inf	-inf	-2.0389698991439857
-inf	-inf	-2.0389698991439857
-inf	-inf	-2.029029466505411
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
-inf	-inf	-1.9719035735506454
