median	q1	q3
-7.2706392298311435	-7.466505006428031	-6.868495749036369
-7.19552365232802	-7.466505006428031	-6.868495749036369
-7.19552365232802	-7.466505006428031	-6.868495749036369
-7.19552365232802	-7.466505006428031	-6.868495749036369
-7.19552365232802	-7.466505006428031	-6.868495749036369
-7.19552365232802	-7.466505006428031	-6.864931725013228
-7.185107451037613	-7.443208211461115	-6.864931725013228
-7.123315167455935	-7.443208211461115	-6.858387230040789
-7.123315167455935	-7.443208211461115	-6.858387230040789
-7.123315167455935	-7.443208211461115	-6.858387230040789
-7.123315167455935	-7.443208211461115	-6.858387230040789
-7.123315167455935	-7.443208211461115	-6.858387230040789
-7.123315167455935	-7.443208211461115	-6.858387230040789
-7.123315167455935	-7.443208211461115	-6.858387230040789
-7.123315167455935	-7.443208211461115	-6.858387230040789
-7.123315167455935	-7.443208211461115	-6.858387230040789
-7.123315167455935	-7.443208211461115	-6.858387230040789
-7.123315167455935	-7.443208211461115	-6.849053134329629
-7.123315167455935	-7.443208211461115	-6.849053134329629
-7.123315167455935	-7.442610273525981	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.441652072044594	-6.849053134329629
-7.123315167455935	-7.427574608515503	-6.849053134329629
-7.123315167455935	-7.408621687695607	-6.849053134329629
-7.123315167455935	-7.408621687695607	-6.849053134329629
-7.087326666354061	-7.3799828898601	-6.849053134329629
-7.087326666354061	-7.3799828898601	-6.849053134329629
-7.087326666354061	-7.3078083471985416	-6.849053134329629
-7.087326666354061	-7.3078083471985416	-6.849053134329629
-7.087326666354061	-7.3078083471985416	-6.849053134329629
-7.087326666354061	-7.3078083471985416	-6.849053134329629
-7.087326666354061	-7.3078083471985416	-6.849053134329629
-7.087326666354061	-7.3078083471985416	-6.849053134329629
-7.087326666354061	-7.304697265135422	-6.849053134329629
-7.087326666354061	-7.304697265135422	-6.849053134329629
-7.087326666354061	-7.304697265135422	-6.849053134329629
-7.087326666354061	-7.304697265135422	-6.849053134329629
-7.0546400687801185	-7.304697265135422	-6.849053134329629
-7.0546400687801185	-7.304697265135422	-6.849053134329629
-7.0546400687801185	-7.304697265135422	-6.849053134329629
-7.0546400687801185	-7.304697265135422	-6.849053134329629
-7.0546400687801185	-7.304697265135422	-6.849053134329629
-7.0546400687801185	-7.246629962658199	-6.849053134329629
-7.0546400687801185	-7.246629962658199	-6.849053134329629
-7.0546400687801185	-7.246629962658199	-6.849053134329629
-7.0546400687801185	-7.246629962658199	-6.849053134329629
-7.050541271423438	-7.246629962658199	-6.849053134329629
-7.050541271423438	-7.246629962658199	-6.849053134329629
-7.050541271423438	-7.246629962658199	-6.849053134329629
-7.050541271423438	-7.246629962658199	-6.849053134329629
-7.050541271423438	-7.246629962658199	-6.799025838814832
-7.050541271423438	-7.246629962658199	-6.799025838814832
-7.050541271423438	-7.246629962658199	-6.799025838814832
-7.050541271423438	-7.246629962658199	-6.799025838814832
-7.050541271423438	-7.246629962658199	-6.799025838814832
-7.050541271423438	-7.243500333661511	-6.799025838814832
-7.050541271423438	-7.243500333661511	-6.799025838814832
-7.050541271423438	-7.243500333661511	-6.799025838814832
-7.050541271423438	-7.243500333661511	-6.799025838814832
-7.050541271423438	-7.243500333661511	-6.799025838814832
-7.050541271423438	-7.243500333661511	-6.799025838814832
-7.048398916716795	-7.20699879444536	-6.799025838814832
-7.048398916716795	-7.20699879444536	-6.790681614015718
-7.025269219136852	-7.17602268447436	-6.790681614015718
-7.025269219136852	-7.17602268447436	-6.790681614015718
-6.977611991493777	-7.17602268447436	-6.790681614015718
-6.977611991493777	-7.17602268447436	-6.790681614015718
-6.977611991493777	-7.17602268447436	-6.790681614015718
-6.977611991493777	-7.17602268447436	-6.790681614015718
-6.968776167024465	-7.17602268447436	-6.790681614015718
-6.959180346117092	-7.17602268447436	-6.790681614015718
-6.959180346117092	-7.17602268447436	-6.790681614015718
-6.959180346117092	-7.17602268447436	-6.790681614015718
-6.959180346117092	-7.17602268447436	-6.790681614015718
-6.959180346117092	-7.17602268447436	-6.790681614015718
-6.930298154483672	-7.162225637084238	-6.790681614015718
-6.930298154483672	-7.162225637084238	-6.790681614015718
-6.920510405634099	-7.162225637084238	-6.78235178395691
-6.920510405634099	-7.162225637084238	-6.78235178395691
-6.920510405634099	-7.162225637084238	-6.78235178395691
-6.920510405634099	-7.162225637084238	-6.78235178395691
-6.917583500548302	-7.162225637084238	-6.78235178395691
-6.917583500548302	-7.162225637084238	-6.78235178395691
-6.917583500548302	-7.162225637084238	-6.697661738146226
-6.917583500548302	-7.162225637084238	-6.697661738146226
-6.917583500548302	-7.162225637084238	-6.697661738146226
-6.917583500548302	-7.162225637084238	-6.697661738146226
