# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = unif_model
# start_datetime = 2024-03-21 15:42:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 50000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1758954680 (Default)
# output
#   file = examples\randomwalk\unifMCMC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,step,x
# Adaptation terminated
# Step size = 0.297629
# Diagonal elements of inverse mass matrix:
# 0.0870014
0,0.983607,0.297629,5,61,1,0.0135456,0.703176,-10
0,0.994318,0.297629,7,176,1,0.00121644,0.395738,-10
0,0.666667,0.297629,1,3,1,1.61145,0.238136,-10
0,0.985915,0.297629,6,71,1,0.0058244,0.664511,-10
0,0.75,0.297629,2,4,1,0.861638,0.779754,10
0,0.981818,0.297629,5,55,1,0.0168208,0.538226,-10
0,0.8,0.297629,2,5,1,1.91208,0.366551,-10
0,0.857143,0.297629,2,7,1,0.460958,0.535134,-10
0,0.928571,0.297629,3,14,1,0.242559,0.229408,-10
0,0.956522,0.297629,4,23,1,0.00663506,0.108053,-10
0,0.875,0.297629,3,8,1,0.0213955,0.0354132,-10
0,0.5,0.297629,1,2,1,0.382216,0.112168,-10
0,0.666667,0.297629,1,3,1,0.155953,0.0631397,-10
0,0.75,0.297629,2,4,1,2.665,0.468492,-10
0,0.928571,0.297629,3,14,1,0.191577,0.251129,-10
0,0.5,0.297629,1,2,1,1.0989,0.120982,-10
0,0.857143,0.297629,2,7,1,1.26615,0.540082,-10
0,0.75,0.297629,2,4,1,1.09119,0.929149,10
0,0.941176,0.297629,4,17,1,0.00774445,0.830818,10
0,0.75,0.297629,2,4,1,0.314546,0.900448,10
0,0.909091,0.297629,3,11,1,0.495968,0.375843,-10
0,0.944444,0.297629,4,18,1,0.192631,0.702784,-10
0,0.970588,0.297629,5,34,1,0.0394565,0.431511,-10
0,0.966667,0.297629,4,30,1,0.0572763,0.253236,-10
0,0.75,0.297629,2,4,1,0.457575,0.0852721,-10
0,0.875,0.297629,3,8,1,0.0491929,0.140345,-10
0,0.933333,0.297629,3,15,1,0.303742,0.277192,-10
0,0.95,0.297629,4,20,1,0.0922291,0.691936,-10
0,0.8,0.297629,2,5,1,0.489802,0.865714,10
0,0.8,0.297629,2,5,1,2.0011,0.514462,-10
0,0.978261,0.297629,5,46,1,0.00961263,0.283187,-10
0,0.997245,0.297629,8,363,1,0.000362861,0.848413,10
0,0.973684,0.297629,5,38,1,0.00799623,0.71519,-10
0,0.923077,0.297629,3,13,1,0.105229,0.513821,-10
0,0.8,0.297629,2,5,1,1.15854,0.246558,-10
0,0.888889,0.297629,3,9,1,0.622248,0.638295,-10
0,0.944444,0.297629,4,18,1,0.192165,0.257327,-10
0,0.5,0.297629,1,2,1,1.82723,0.0895048,-10
0,0.875,0.297629,3,8,1,0.00813308,0.0111295,-10
0,0,0.297629,0,1,1,0.0447122,0.0111295,-10
0,0,0.297629,0,1,1,0.850908,0.0111295,-10
0,0,0.297629,0,1,1,0.0218423,0.0111295,-10
0,0,0.297629,0,1,1,1.17157,0.0111295,-10
0,0.888889,0.297629,3,9,1,0.860701,0.587033,-10
0,0.988235,0.297629,6,85,1,0.00679052,0.53588,-10
0,0.916667,0.297629,3,12,1,0.450615,0.0358362,-10
0,0,0.297629,0,1,1,0.087431,0.0358362,-10
0,0,0.297629,0,1,1,1.95042,0.0358362,-10
0,0.75,0.297629,2,4,1,0.0429082,0.0615534,-10
0,0,0.297629,0,1,1,1.27302,0.0615534,-10
0,0.666667,0.297629,1,3,1,0.0371825,0.0376135,-10
0,0,0.297629,0,1,1,0.233205,0.0376135,-10
0,0.666667,0.297629,1,3,1,0.0372992,0.061591,-10
0,0.5,0.297629,1,2,1,0.0965098,0.0230219,-10
0,0.75,0.297629,2,4,1,0.513616,0.28995,-10
0,0.954545,0.297629,4,22,1,0.142841,0.477639,-10
0,0.8,0.297629,2,5,1,0.944476,0.356983,-10
0,0.933333,0.297629,3,15,1,0.280416,0.225496,-10
0,0.666667,0.297629,1,3,1,0.784037,0.115564,-10
0,0.952381,0.297629,4,21,1,0.132245,0.567049,-10
0,0.666667,0.297629,1,3,1,2.98321,0.781484,10
0,0.964286,0.297629,4,28,1,0.00438303,0.871898,10
0,0.944444,0.297629,4,18,1,0.194162,0.488956,-10
0,0.857143,0.297629,2,7,1,0.708763,0.384434,-10
0,0.995516,0.297629,7,223,1,0.000514785,0.60415,-10
0,0.9375,0.297629,4,16,1,0.126562,0.736654,-10
0,0.933333,0.297629,3,15,1,0.2188,0.562433,-10
0,0.916667,0.297629,3,12,1,0.178559,0.667357,-10
0,0.8,0.297629,2,5,1,2.23229,0.481864,-10
0,0.833333,0.297629,2,6,1,1.77757,0.978442,10
0,0.5,0.297629,1,2,1,0.0562487,0.948997,10
0,0.958333,0.297629,4,24,1,0.00207696,0.909391,10
0,0.5,0.297629,1,2,1,0.185705,0.962892,10
0,0.5,0.297629,1,2,1,0.205542,0.906606,10
0,0.5,0.297629,1,2,1,0.216967,0.964436,10
0,0.5,0.297629,1,2,1,0.632094,0.865729,10
0,0.5,0.297629,1,2,1,1.97341,0.691323,-10
0,0.857143,0.297629,2,7,1,0.643911,0.492074,-10
0,0.9,0.297629,3,10,1,0.208298,0.775387,10
0,0.972973,0.297629,5,37,1,0.00764204,0.742827,-10
0,0.75,0.297629,2,4,1,1.23318,0.604958,-10
0,0.888889,0.297629,3,9,1,0.466759,0.265676,-10
0,0.888889,0.297629,3,9,1,0.19995,0.321192,-10
0,0.9,0.297629,3,10,1,0.240152,0.564556,-10
0,0.857143,0.297629,2,7,1,1.24217,0.149443,-10
0,0.994318,0.297629,7,176,1,0.000160969,0.202999,-10
0,0.944444,0.297629,4,18,1,0.152578,0.736448,-10
0,0.833333,0.297629,2,6,1,0.279039,0.80203,10
0,1,0.297629,10,1023,0,6.98406e-006,0.586468,-10
0,0.916667,0.297629,3,12,1,0.15826,0.290128,-10
0,0.9375,0.297629,4,16,1,0.101997,0.48838,-10
0,0.956522,0.297629,4,23,1,0.0360914,0.346864,-10
0,0.941176,0.297629,4,17,1,0.197345,0.898391,10
0,0.75,0.297629,2,4,1,0.24788,0.774767,10
0,0.9375,0.297629,4,16,1,0.153695,0.288042,-10
0,0.958333,0.297629,4,24,1,0.111349,0.536611,-10
0,0.833333,0.297629,2,6,1,1.98172,0.711384,-10
0,0.875,0.297629,3,8,1,0.913394,0.236768,-10
0,0.909091,0.297629,3,11,1,0.169636,0.441305,-10
0,0.982143,0.297629,5,56,1,0.0129039,0.272068,-10
0,0.998964,0.297629,9,965,1,4.70472e-005,0.484109,-10
0,0.997912,0.297629,8,479,1,0.000132957,0.664486,-10
0,0.916667,0.297629,3,12,1,0.401315,0.585836,-10
0,0.857143,0.297629,2,7,1,0.64288,0.386746,-10
0,0.833333,0.297629,2,6,1,1.88123,0.216462,-10
0,0.75,0.297629,2,4,1,1.25703,0.494854,-10
0,0.8,0.297629,2,5,1,1.04192,0.748309,-10
0,0.8,0.297629,2,5,1,1.4874,0.445479,-10
0,0.978261,0.297629,5,46,1,0.0206917,0.677644,-10
0,0.8,0.297629,2,5,1,2.32859,0.488191,-10
0,0.933333,0.297629,3,15,1,0.244093,0.120162,-10
0,0.75,0.297629,2,4,1,0.859632,0.235271,-10
0,0.8,0.297629,2,5,1,0.372233,0.159525,-10
0,0.947368,0.297629,4,19,1,0.181012,0.476452,-10
0,0.875,0.297629,3,8,1,0.508271,0.122405,-10
0,1,0.297629,10,1023,0,1.05283e-007,0.130703,-10
0,0.969697,0.297629,5,33,1,0.00678237,0.19205,-10
0,0.833333,0.297629,2,6,1,1.48601,0.646081,-10
0,0.97619,0.297629,5,42,1,0.00716493,0.76168,10
0,0.857143,0.297629,2,7,1,0.294782,0.559459,-10
0,0.833333,0.297629,2,6,1,0.919206,0.321397,-10
0,0.944444,0.297629,4,18,1,0.128467,0.766386,10
0,0.5,0.297629,1,2,1,1.35134,0.910709,10
0,0.8,0.297629,2,5,1,0.358743,0.687626,-10
0,0.888889,0.297629,3,9,1,0.555318,0.50259,-10
0,0.923077,0.297629,3,13,1,0.212116,0.388231,-10
0,0.909091,0.297629,3,11,1,0.358739,0.536953,-10
0,0.964286,0.297629,4,28,1,0.0439905,0.302597,-10
0,0.916667,0.297629,3,12,1,0.190732,0.465259,-10
0,0.666667,0.297629,1,3,1,2.85851,0.675165,-10
0,0.916667,0.297629,3,12,1,0.108391,0.593416,-10
0,0.95,0.297629,4,20,1,0.130177,0.369446,-10
0,0.916667,0.297629,3,12,1,0.382713,0.830277,10
0,0.923077,0.297629,3,13,1,0.405128,0.672232,-10
0,0.857143,0.297629,2,7,1,0.887701,0.438286,-10
0,0.8,0.297629,2,5,1,1.88579,0.608776,-10
0,0.9,0.297629,3,10,1,0.356597,0.386361,-10
0,0.970588,0.297629,5,34,1,0.0470294,0.628676,-10
0,0.952381,0.297629,4,21,1,0.0768142,0.284584,-10
0,0.933333,0.297629,3,15,1,0.0281358,0.18046,-10
0,0,0.297629,0,1,1,2.62855,0.18046,-10
0,0.941176,0.297629,4,17,1,0.222827,0.825119,10
0,0.909091,0.297629,3,11,1,0.0761248,0.756611,10
0,0.888889,0.297629,3,9,1,0.589881,0.184491,-10
0,0.991935,0.297629,6,124,1,0.00333465,0.471264,-10
0,0.981481,0.297629,5,54,1,0.0195128,0.852801,10
0,0.9375,0.297629,4,16,1,0.204124,0.516249,-10
0,0.928571,0.297629,3,14,1,0.162103,0.416277,-10
0,0.666667,0.297629,1,3,1,2.47177,0.221087,-10
0,0.928571,0.297629,3,14,1,0.230585,0.459554,-10
0,0.888889,0.297629,3,9,1,0.744112,0.887938,10
0,0.5,0.297629,1,2,1,0.383062,0.964778,10
0,0.875,0.297629,3,8,1,0.0544648,0.848881,10
0,0.666667,0.297629,1,3,1,0.466627,0.764073,10
0,0.947368,0.297629,4,19,1,0.0594014,0.461484,-10
0,0.954545,0.297629,4,22,1,0.0486825,0.817594,10
0,0.916667,0.297629,3,12,1,0.310035,0.402821,-10
0,0.666667,0.297629,1,3,1,4.15618,0.655926,-10
0,0.986301,0.297629,6,73,1,0.0083626,0.349385,-10
0,0.8,0.297629,2,5,1,1.32376,0.635071,-10
0,0.75,0.297629,2,4,1,0.80296,0.857572,10
0,0.875,0.297629,3,8,1,0.323773,0.504353,-10
0,0.961538,0.297629,4,26,1,0.0255092,0.306062,-10
0,0.8,0.297629,2,5,1,1.38696,0.598488,-10
0,0.923077,0.297629,3,13,1,0.175921,0.494342,-10
0,0.944444,0.297629,4,18,1,0.131878,0.268913,-10
0,0.857143,0.297629,2,7,1,1.24457,0.407417,-10
0,0.857143,0.297629,2,7,1,0.460022,0.575829,-10
0,0.9,0.297629,3,10,1,0.167718,0.779207,10
0,0.5,0.297629,1,2,1,0.956111,0.900604,10
0,0.941176,0.297629,4,17,1,0.103081,0.382417,-10
0,0.75,0.297629,2,4,1,0.629024,0.185484,-10
0,0.944444,0.297629,4,18,1,0.178106,0.552252,-10
0,0.985294,0.297629,6,68,1,0.00622876,0.111325,-10
0,0.666667,0.297629,1,3,1,0.226163,0.170367,-10
0,0.666667,0.297629,1,3,1,0.703496,0.2745,-10
0,0.888889,0.297629,3,9,1,0.0915454,0.0491155,-10
0,0.75,0.297629,2,4,1,0.332866,0.264002,-10
0,0.875,0.297629,3,8,1,0.236164,0.203668,-10
0,0.75,0.297629,2,4,1,0.364119,0.128752,-10
0,0.857143,0.297629,2,7,1,0.0568618,0.187962,-10
0,0.888889,0.297629,3,9,1,0.624608,0.776682,10
0,0.666667,0.297629,1,3,1,5.26906,0.491698,-10
0,0.941176,0.297629,4,17,1,0.183841,0.385234,-10
0,0.909091,0.297629,3,11,1,0.286068,0.650846,-10
0,0.980392,0.297629,5,51,1,0.00475994,0.822157,10
0,0.75,0.297629,2,4,1,2.4374,0.240673,-10
0,0.857143,0.297629,2,7,1,0.340112,0.385481,-10
0,0.8,0.297629,2,5,1,2.42338,0.772021,10
0,0.944444,0.297629,4,18,1,0.198826,0.384506,-10
0,0.990909,0.297629,6,110,1,0.00093584,0.228788,-10
0,0.5,0.297629,1,2,1,1.82332,0.0611453,-10
0,0.75,0.297629,2,4,1,1.68669,0.544864,-10
0,0.977273,0.297629,5,44,1,0.0296497,0.608997,-10
0,0.888889,0.297629,3,9,1,0.375485,0.837226,10
0,0.5,0.297629,1,2,1,1.56736,0.992658,10
0,0.875,0.297629,3,8,1,0.0776142,0.854306,10
0,0.5,0.297629,1,2,1,0.437286,0.936405,10
0,0.875,0.297629,3,8,1,0.156225,0.641976,-10
0,0.916667,0.297629,3,12,1,0.319239,0.361386,-10
0,0.8,0.297629,2,5,1,1.20368,0.633806,-10
0,0.8,0.297629,2,5,1,1.50434,0.176983,-10
0,0.75,0.297629,2,4,1,0.287556,0.110408,-10
0,0.8,0.297629,2,5,1,0.58939,0.396349,-10
